index,network,title,imdb,engagement,date_aired,format,monster_gender,motive,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
277,ABC,Ghost of the Ancient Astronauts,6.9,36.0,1984-10-13,TV Series,Male,Treasure,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
278,ABC,The Night of Living Toys,7.2,23.0,1984-10-20,TV Series (segmented),Male,Treasure,,Heather North,,Casey Kasem,Don Messick
279,ABC,South Pole Vault,7.2,23.0,1984-10-20,TV Series (segmented),Male,Competition,,Heather North,,Casey Kasem,Don Messick
280,ABC,A Halloween Hassle at Dracula's Castle,8.0,47.0,1984-10-27,TV Series,Male,Theft,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
281,ABC,A Night Louse at the White House,7.5,26.0,1984-11-03,TV Series,Male,Theft,,Heather North,Marla Scott,Casey Kasem,Don Messick
282,ABC,Showboat Scooby,7.3,27.0,1984-11-10,TV Series (segmented),Male,Treasure,,Heather North,,Casey Kasem,Don Messick
284,ABC,Sherlock Doo,7.6,27.0,1984-11-17,TV Series,Male,Theft,Frank Welker,Heather North,,Casey Kasem,Don Messick
285,ABC,A Scarey Duel with a Cartoon Ghoul,7.0,24.0,1984-11-24,TV Series (segmented),Male,Theft,,Heather North,,Casey Kasem,Don Messick
286,ABC,E*I*E*I*O,7.0,24.0,1984-11-24,TV Series (segmented),Male,Competition,,Heather North,,Casey Kasem,Don Messick
287,ABC,The Nutcracker Scoob,7.9,60.0,1984-12-01,TV Series,Male,Treasure,Frank Welker,Heather North,,Casey Kasem,Don Messick
289,ABC,Scoobra Kadoobra,7.6,91.0,1985-09-14,TV Series,Male,Conquer,,Heather North,,Casey Kasem,Don Messick
291,ABC,Reflections in the Ghoulish Eye,7.2,79.0,1985-09-28,TV Series,Male,Conquer,,Heather North,,Casey Kasem,Don Messick
293,ABC,Ship of Ghouls,7.5,74.0,1985-10-12,TV Series,Male,Conquer,,Heather North,,Casey Kasem,Don Messick
295,ABC,When You Witch Upon a Star,7.1,78.0,1985-10-26,TV Series,Female,Conquer,,Heather North,,Casey Kasem,Don Messick
296,ABC,It's a Wonderful Scoob,7.4,77.0,1985-11-02,TV Series,Male,Conquer,,Heather North,,Casey Kasem,Don Messick
297,ABC,Scooby in Kwacky Land,7.7,76.0,1985-11-09,TV Series,Male,Conquer,,Heather North,,Casey Kasem,Don Messick
298,ABC,Coast-to-Ghost,7.4,71.0,1985-11-16,TV Series,Male,Conquer,,Heather North,,Casey Kasem,Don Messick
299,ABC,The Ghouliest Show on Earth,7.4,77.0,1985-11-23,TV Series,Male,Conquer,,Heather North,,Casey Kasem,Don Messick
300,ABC,Horror-Scope Scoob,7.4,77.0,1985-12-07,TV Series,Male,Conquer,,Heather North,,Casey Kasem,Don Messick
301,Syndication,Scooby-Doo Meets the Boo Brothers,7.1,3727.0,1987-10-18,Movie,Male,Treasure,,,,Casey Kasem,Don Messick
302,ABC,A Bicycle Built for Boo,7.3,68.0,1988-09-10,TV Series,Male,Counterfeit,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
303,ABC,The Sludge Monster from the Earth's Core,7.5,58.0,1988-09-17,TV Series,Male,Theft,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
304,ABC,The Schnoock Who Took My Comic Book,8.0,55.0,1988-09-24,TV Series,Male,Theft,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
305,ABC,Wanted Cheddar Alive,7.5,61.0,1988-10-01,TV Series,Male,Competition,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
306,ABC,For Letter or Worse,7.4,44.0,1988-10-08,TV Series,Male,Competition,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
307,ABC,The Babysitter from Beyond,7.6,50.0,1988-10-15,TV Series,Male,Theft,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
309,ABC,Snow Place Like Home,7.8,44.0,1988-10-22,TV Series,Male,Natural Resource,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
310,ABC,"Now Museum, Now You Don't",7.7,47.0,1988-10-29,TV Series,Male,Theft,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
311,ABC,Scooby Dude,7.0,47.0,1988-11-05,TV Series,Male,Smuggling,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
312,ABC,Ghost Who's Coming to Dinner,7.5,53.0,1988-11-12,TV Series,Male,Competition,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
314,ABC,The Story Stick,6.9,46.0,1988-11-19,TV Series,Male,Competition,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
315,ABC,Robopup,7.2,44.0,1988-11-26,TV Series,Male,Theft,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
316,ABC,Lights...Camera...Monster,7.5,45.0,1988-12-03,TV Series,Male,Theft,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
317,ABC,Curse of the Collar,7.7,43.0,1989-09-09,TV Series,Male,Theft,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
318,ABC,The Return of Commander Cool,7.7,43.0,1989-09-16,TV Series,Male,Theft,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
319,ABC,The Spirit of Rock'n Roll,7.8,43.0,1989-09-23,TV Series,Male,Theft,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
320,ABC,Chickenstein Lives,7.5,38.0,1989-09-30,TV Series,Male,Smuggling,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
321,ABC,Night of the Living Burger,7.6,42.0,1989-10-07,TV Series,Male,Competition,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
322,ABC,The Computer Walks Among Us,7.7,40.0,1989-10-14,TV Series,Male,Competition,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
324,ABC,"Terror, Thy Name is Zombo",7.8,38.0,1989-10-28,TV Series,Male,Competition,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
325,ABC,Night of the Boogey Biker,7.1,37.0,1990-09-08,TV Series (segmented),Male,Assistance,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
326,ABC,Dawn of the Spooky Shuttle Scare,7.1,37.0,1990-09-08,TV Series (segmented),Male,Competition,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
327,ABC,Horror of the Haunted Hairpiece,6.9,35.0,1990-10-06,TV Series,Male,Competition,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
328,ABC,Wrestle Maniacs,7.2,38.0,1990-11-03,TV Series,Male,Competition,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
329,ABC,The Were-Doo of Doo Manor,7.2,40.0,1991-08-03,TV Series,Male,Treasure,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
331,ABC,The Ghost of Mrs. Shusham,6.6,37.0,1991-08-10,TV Series (segmented),Female,Theft,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
333,ABC,Mayhem of the Moving Mollusk,7.2,32.0,1991-08-17,TV Series,Male,Competition,Carl Steven,Kellie Martin,Christina Lange,Casey Kasem,Don Messick
335,Cartoon Network,Bravo Dooby-Doo,8.4,148.0,1997-07-25,Crossover,Male,Trespassing,Frank Welker,Heather North,B.J. Ward,Casey Kasem,Hadley Kay
338,Cartoon Network,The Scooby-Doo Project,7.4,390.0,1999-10-31,TV Series,Male,Entertainment,Frank Welker,Marry Kay Bergman,B.J. Ward,Scott Innes,Scott Innes
339,Warner Home Video,Scooby-Doo and the Alien Invaders,6.9,5625.0,2000-10-03,Movie,Male,Natural Resource,Frank Welker,Marry Kay Bergman,B.J. Ward,Scott Innes,Scott Innes
340,Warner Home Video,Scooby-Doo and the Cyber Chase,7.0,6632.0,2001-10-09,Movie,Male,Competition,Frank Welker,Grey DeLisle,B.J. Ward,Scott Innes,Scott Innes
341,Cartoon Network,Night of the Living Doo,7.2,256.0,2001-10-31,TV Series,Male,Competition,Frank Welker,Grey DeLisle,B.J. Ward,Scott Innes,Scott Innes
343,Adult Swim,Shaggy Busted,8.1,133.0,2002-07-07,Crossover,Male,Competition,Frank Welker,Grey DeLisle,B.J. Ward,Scott Innes,Scott Innes
344,The WB,There's No Creature Like Snow Creature,7.5,176.0,2002-09-14,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
345,The WB,3-D Struction,7.4,150.0,2002-09-21,TV Series,Male,Natural Resource,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
346,The WB,Space Ape and the Cape,7.6,151.0,2002-09-28,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
347,The WB,Big Scare in the Big Easy,7.7,142.0,2002-10-05,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
348,The WB,"It's Mean, It's Green, It's the Mystery Machine",7.6,144.0,2002-10-26,TV Series,Female,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
349,The WB,Riva Ras Regas,7.5,125.0,2002-11-02,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
350,The WB,Roller Ghoster Ride,7.7,133.0,2002-11-09,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
351,The WB,"Safari, So Goodie!",7.1,130.0,2002-11-23,TV Series,Male,Smuggling,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
352,The WB,She Sees Sea Monsters by the Sea Shore,7.1,122.0,2002-11-30,TV Series,Female,Preservation,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
353,The WB,A Scooby-Doo! Christmas,7.5,137.0,2002-12-13,TV Series,Male,Treasure,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
355,The WB,Lights! Camera! Mayhem!,7.5,115.0,2003-02-15,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
356,The WB,Pompii and Circumstance,7.1,110.0,2003-02-22,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
357,Warner Home Video,Scooby-Doo! and the Legend of the Vampire,6.6,4180.0,2003-03-04,Movie,Male,Competition,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Frank Welker
358,The WB,The Unnatural,7.3,110.0,2003-03-22,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
359,The WB,Big Appetite in Little Tokyo,7.2,112.0,2003-09-13,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
361,The WB,The Fast and the Wormious,7.4,104.0,2003-09-27,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
362,Warner Home Video,Scooby-Doo! and the Monster of Mexico,6.5,3462.0,2003-09-30,Movie,Male,Competition,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Frank Welker
364,The WB,The Vampire Strikes Back,7.4,105.0,2003-10-18,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
365,The WB,A Scooby-Doo Halloween,7.6,129.0,2003-10-25,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
366,The WB,Homeward Hound,7.2,97.0,2003-10-25,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
367,The WB,The San Franpsycho,7.3,103.0,2004-03-20,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
368,The WB,Simple Plan and the Invisible Madman,7.5,113.0,2004-03-22,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
369,The WB,Recipe for Disaster,7.5,109.0,2004-03-23,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
370,The WB,Large Dragon at Large,7.5,94.0,2004-03-24,TV Series,Male,Treasure,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
371,The WB,Uncle Scooby and Antarctica,7.4,99.0,2004-03-25,TV Series,Male,Preservation,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
372,The WB,"New Mexico, Old Monster",7.2,96.0,2004-03-26,TV Series,Male,Preservation,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
373,Warner Bros. Picture,Scooby-Doo 2: Monsters Unleashed,5.1,50847.0,2004-03-26,Movie (Theatrical),Male,Competition,Freddie Prinze Jr.,Sarah Michelle Gellar,Linda Cardellini,Matthew Lillard,Neil Fanning
374,The WB,It's All Greek to Scooby,7.4,91.0,2004-03-27,TV Series,Male,Treasure,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
375,Warner Home Video,Scooby-Doo! and the Loch Ness Monster,6.7,4108.0,2004-06-24,Movie,Female,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
376,The WB,Fright House of a Lighthouse,8.0,128.0,2005-01-29,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
377,The WB,"Go West, Young Scoob",7.2,102.0,2005-02-05,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
378,Warner Home Video,"Aloha, Scooby-Doo!",6.4,3696.0,2005-02-08,Movie,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
380,The WB,Wrestle Maniacs,7.4,90.0,2005-02-12,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
381,The WB,Ready to Scare,7.5,89.0,2005-02-19,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
382,The WB,Farmed & Dangerous,7.3,101.0,2005-02-25,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
383,The WB,Diamonds Are a Ghoul's Best Friend,7.0,96.0,2005-03-03,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
384,The WB,A Terrifying Round with a Menacing Metallic Clown,7.6,105.0,2005-03-12,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
385,The WB,Camp Comeoniwannascareya,7.5,100.0,2005-03-19,TV Series,Male,Preservation,,,,Casey Kasem,Frank Welker
386,The WB,Block-Long Hong Kong Terror,7.4,88.0,2005-03-26,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
387,The WB,"Gentlemen, Start Your Monsters!",7.3,87.0,2005-04-02,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
388,The WB,Gold Paw,7.4,84.0,2005-04-09,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
389,The WB,Reef Grief!,7.5,92.0,2005-04-19,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
391,Cartoon Network,E-Scream,7.4,91.0,2006-07-21,TV Series,Male,Simulation,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
393,The CW,Shags to Riches,6.1,29.0,2006-09-23,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Scott Menville,Frank Welker
395,The CW,High Society Scooby,6.0,22.0,2006-10-07,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
396,The CW,Party Arty,5.9,19.0,2006-11-04,TV Series,Male,Abduction,,,,Scott Menville,Frank Welker
397,The CW,Smart House,5.9,17.0,2006-11-11,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
398,The CW,Lightning Strikes Twice,5.5,17.0,2006-11-18,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
399,The CW,Don't Feed the Animals,5.8,18.0,2007-02-02,TV Series,Male,Treasure,,,,Scott Menville,Frank Welker
400,The CW,Mysterty of the Missing Mystery Solvers,6.9,17.0,2007-02-10,TV Series,Male,Abduction,,,,Scott Menville,Frank Welker
401,The CW,Chefs of Steel,5.1,16.0,2007-02-17,TV Series,Male,Competition,,,,Scott Menville,Frank Welker
402,The CW,Almost Ghosts,6.1,20.0,2007-02-24,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Scott Menville,Frank Welker
403,The CW,Pole to Pole,6.1,14.0,2007-03-03,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
404,The CW,Big Trouble,5.9,17.0,2007-04-28,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
406,Cartoon Network,"Chill Out, Scooby-Doo!",6.7,2511.0,2007-08-31,Movie,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
407,The CW,Shaggy and Scooby World,5.3,15.0,2007-09-22,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
408,The CW,Almost Purr-fect,5.2,16.0,2007-09-29,TV Series,Male,Theft,,,,Scott Menville,Frank Welker
409,The CW,Inside Job,5.9,18.0,2007-10-06,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
410,The CW,Zoinksman,5.5,14.0,2007-10-13,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
411,The CW,The Many Faces of Evil,5.4,13.0,2007-11-03,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
412,The CW,Crusin' for a Brusin',5.6,11.0,2007-11-10,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
413,The CW,There's a Doctor in the House,5.5,11.0,2007-12-01,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
414,The CW,Super Scary Movie Night,5.4,11.0,2008-01-26,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
415,The CW,Runaway Robi,4.8,9.0,2008-02-02,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
416,The CW,Don't Get a Big Head,4.6,9.0,2008-02-16,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
417,The CW,Scooby Dudes,6.2,13.0,2008-02-23,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
418,The CW,Zoinks the Wonder Dog,5.1,9.0,2008-03-08,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
419,The CW,Uncle Albert Alert,5.8,9.0,2008-03-15,TV Series,Male,Conquer,,,,Scott Menville,Frank Welker
420,Warner Home Video,Scooby-Doo! and the Goblin King,6.4,2285.0,2008-10-08,Movie,Male,Conquer,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
421,Warner Home Video,Scooby-Doo! and the Samurai Sword,6.5,2182.0,2009-04-07,Movie,Male,Conquer,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker
424,Cartoon Network,Beware the Beast From Below,7.9,337.0,2010-04-05,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
426,Cartoon Network,The Secret of the Ghost Rig,7.7,267.0,2010-07-26,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
427,Cartoon Network,Revenge of the Man Crab,7.7,255.0,2010-08-02,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
428,Cartoon Network,The Song of Mystery,8.0,254.0,2010-08-09,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
429,Cartoon Network,The Legend of Alice May,8.5,263.0,2010-08-16,TV Series,Female,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
430,Cartoon Network,In Fear of the Phantom,8.2,256.0,2010-08-23,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
431,Cartoon Network,The Grasp of the Gnome,7.8,229.0,2010-08-30,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
432,Cartoon Network,Battle of the Humungonauts,7.6,221.0,2010-09-07,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
434,Cartoon Network,Howl of the Fright Hound,8.2,235.0,2010-10-04,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
435,Cartoon Network,The Secret Serum,8.1,225.0,2010-10-11,TV Series,Female,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
436,Cartoon Network,The Shrieking Madness,8.4,246.0,2010-10-18,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
437,Cartoon Network,When the Cicada Calls,8.0,224.0,2010-10-25,TV Series,Male,Preservation,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
439,Cartoon Network,Mystery Solvers Club State Finals,8.2,254.0,2011-05-03,TV Series,Male,Imagination,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
440,Cartoon Network,The Wild Brood,7.7,221.0,2011-05-10,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
441,Cartoon Network,Where Walks Aphrodite,8.2,228.0,2011-05-17,TV Series,Female,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
442,Cartoon Network,Escape from Mystery Manor,8.8,250.0,2011-05-24,TV Series,Male,Preservation,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
443,Cartoon Network,The Dragon's Secret,8.2,211.0,2011-05-31,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
444,Cartoon Network,Nightfright,8.5,227.0,2011-06-07,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
445,Cartoon Network,The Siren's Song,8.1,203.0,2011-06-14,TV Series,Male,Natural Resource,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
446,Cartoon Network,Menace of the Manticore,8.2,212.0,2011-06-21,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
447,Cartoon Network,Attack of the Headless Horror,8.1,196.0,2011-06-28,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
448,Cartoon Network,A Haunting in Crystal Cove,8.6,211.0,2011-07-05,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
449,Cartoon Network,Dead Justice,8.2,194.0,2011-07-12,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
450,Cartoon Network,Pawn of Shadows,8.8,212.0,2011-07-19,TV Series,Female,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
451,Cartoon Network,All Fear the Freak,9.2,272.0,2011-07-26,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
452,Warner Home Video,Scooby-Doo! Legend of the Phantosaur,6.8,1899.0,2011-09-06,Movie,Male,Natural Resource,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
453,Warner Home Video,Scooby-Doo! Music of the Vampire,6.5,1573.0,2012-03-13,Movie,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
454,Warner Home Video,Scooby-Doo! Spooky Games,6.9,195.0,2012-07-17,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
455,Cartoon Network,The Night the Clown Cried,8.5,226.0,2012-07-30,TV Series,Male,,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
457,Cartoon Network,The Night the Clown Cried II - Tears of Doom,8.4,197.0,2012-08-01,TV Series,Male,Abduction,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
458,Cartoon Network,Web of the Dreamweaver!,8.2,192.0,2012-08-02,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
459,Cartoon Network,The Hodag of Horror,8.4,188.0,2012-08-03,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
460,Cartoon Network,Art of Darkness,7.7,177.0,2012-08-06,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
461,Cartoon Network,The Gathering Gloom,8.2,172.0,2012-08-07,TV Series,Male,Natural Resource,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
462,Cartoon Network,Night on Haunted Mountain,8.3,183.0,2012-08-08,TV Series,Female,Treasure,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
463,Cartoon Network,Grrim Judgment,8.3,176.0,2012-08-09,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
464,Cartoon Network,Night Terrors,9.1,202.0,2012-08-10,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
466,Cartoon Network,Scarebear,8.2,169.0,2012-08-14,TV Series,Male,Preservation,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
467,Cartoon Network,Wrath of the Krampus,8.9,207.0,2012-08-15,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
468,Cartoon Network,Heart of Evil,7.6,174.0,2012-08-16,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
469,Cartoon Network,Theater of Doom,8.6,180.0,2012-08-17,TV Series,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
470,Warner Home Video,Big Top Scooby-Doo!,6.9,1442.0,2012-10-09,Movie,Male,Theft,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
471,Warner Home Video,Scooby-Doo! Haunted Holidays,7.0,392.0,2012-10-16,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
472,Warner Home Video,Scooby-Doo! Mask of the Blue Falcon,6.8,1485.0,2013-02-26,Movie,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
475,Cartoon Network,Dance of the Undead,8.0,180.0,2013-03-26,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
476,Cartoon Network,The Devouring,7.8,166.0,2013-03-27,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
477,Cartoon Network,Stand and Deliver,8.3,171.0,2013-03-28,TV Series,Male,Competition,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
