index,network,title,imdb,engagement,date_aired,format,monster_gender,motive,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
41,CBS,The Lochness Mess,7.9,114.0,1972-12-23,TV Series,Male,Treasure,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
42,CBS,The Mystery of Haunted Island,7.4,103.0,1973-09-08,TV Series,Male,Competition,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
43,CBS,The Haunted Showboat,7.9,82.0,1973-09-15,TV Series,Male,Counterfeit,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
44,CBS,Mystery in Persia,7.5,82.0,1973-09-22,TV Series,Male,Competition,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
45,CBS,The Spirited Spooked Sports Show,7.4,73.0,1973-09-29,TV Series,Male,Competition,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
46,CBS,The Exterminator,7.6,85.0,1973-10-06,TV Series,Male,Competition,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
47,CBS,The Weird Winds of Winona,7.3,91.0,1973-10-13,TV Series,Male,Competition,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
48,CBS,The Haunted Candy Factory,7.8,104.0,1973-10-20,TV Series,Male,Smuggling,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
49,CBS,The Haunted Carnival,7.6,92.0,1973-10-27,TV Series,Male,Competition,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
51,ABC,Everyone Hyde!,7.2,12.0,1976-09-11,Crossover,Male,Theft,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
52,ABC,The Fiesta Host is an Aztec Ghost,7.4,97.0,1976-09-18,TV Series,Male,Treasure,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
53,ABC,"What Now, Lowbrow?",6.9,11.0,1976-09-18,Crossover,Male,Theft,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
