Sno,index,network,title,imdb,engagement,format,monster_gender,motive
81,127,ABC,The Creepy Case of Old Iron Face,7.7,80.0,TV Series,Male,Smuggling
82,130,ABC,"Jeepers, It's the Jaguaro!",7.2,91.0,TV Series,Male,Natural Resource
83,133,ABC,Make a Beeline Away from that Feline,8.0,88.0,TV Series,Male,Theft
84,134,ABC,The Creepy Creature of Vulture's Claw,7.5,80.0,TV Series,Male,Natural Resource
85,135,ABC,The Diabolical Disc Demon,7.5,84.0,TV Series,Male,Smuggling
86,136,ABC,Scooby's Chinese Fortune Kooky Caper,7.5,85.0,TV Series,Male,Theft
87,137,ABC,A Menace in Venice,7.5,92.0,TV Series,Male,Treasure
88,138,ABC,Don't Go Near the Fortress of Fear,7.2,83.0,TV Series,Male,Treasure
89,139,ABC,The Warlock of Wimbledon,6.8,84.0,TV Series,Male,Competition
90,140,ABC,The Beast is Awake in Bottomless Lake,7.1,84.0,TV Series,Male,Smuggling
91,141,ABC,The Scarab Lives!,7.6,67.0,TV Series,Male,Competition
92,142,ABC,The Night Ghoul of Wonderworld,7.6,59.0,TV Series,Male,Theft
93,143,ABC,Strange Encounters of a Scooby Kind,7.6,54.0,TV Series,Male,Smuggling
94,144,ABC,The Neon Phantom of the Roller Disco!,7.4,55.0,TV Series,Male,Competition
95,145,ABC,"Shiver and Shake, That Demon's a Snake",7.5,51.0,TV Series,Male,Smuggling
96,146,ABC,The Scary Sky Skeleton,7.4,51.0,TV Series,Male,Natural Resource
97,147,ABC,The Demon of the Dugout,7.5,51.0,TV Series,Male,Theft
98,148,ABC,The Hairy Scare of the Devil Bear,7.3,53.0,TV Series,Male,Treasure
99,149,ABC,Twenty Thousand Screams Under the Sea,7.6,47.0,TV Series,Male,Treasure
100,150,ABC,I Left My Neck in San Francisco,8.0,52.0,TV Series,Female,Theft
101,151,ABC,When You Wish Upon a Star Creature,7.2,48.0,TV Series,Male,Theft
102,152,ABC,"The Ghoul, the Bat and the Ugly",7.7,52.0,TV Series,Male,Theft
103,154,ABC,Rocky Mountain Yiiiii!,7.5,48.0,TV Series,Male,Treasure
104,155,ABC,The Sorcerer's a Menace,7.3,47.0,TV Series,Male,Theft
105,156,ABC,"Lock the Door, It's a Minotaur!",7.5,46.0,TV Series,Male,Treasure
106,158,ABC,A Close Encounter with a Strange Kind,7.1,35.0,TV Series (segmented),Male,Experimentation
107,159,ABC,A Fit Night Out for Bats,7.1,35.0,TV Series (segmented),Male,Food
108,160,ABC,The Chinese Food Factory,7.1,35.0,TV Series (segmented),Male,Theft
109,161,ABC,Scooby's Desert Dilemma,7.2,36.0,TV Series (segmented),Male,Experimentation
110,162,ABC,The Old Cat and Mouse Game,7.2,37.0,TV Series (segmented),Male,Food
111,164,ABC,Mummy's the Word,7.2,36.0,TV Series (segmented),Male,Trespassing
112,168,ABC,Scooby's Fantastic Island,7.1,31.0,TV Series (segmented),Male,Assistance
113,169,ABC,Long John Scrappy,6.8,32.0,TV Series (segmented),Male,Abduction
114,174,ABC,Swamp Witch,6.7,36.0,TV Series (segmented),Female,Food
115,175,ABC,Sir Scooby and the Black Knight,7.0,29.0,TV Series (segmented),Male,Trespassing
116,176,ABC,Waxworld,6.7,36.0,TV Series (segmented),Male,Abduction
117,179,ABC,South Seas Scare,7.0,32.0,TV Series (segmented),Male,Trespassing
118,181,ABC,Alaskan King Coward,7.0,32.0,TV Series (segmented),Male,Food
119,182,ABC,"Et Tu, Scoob?",6.7,29.0,TV Series (segmented),Male,Competition
120,183,ABC,Soggy Bog Scooby,6.7,29.0,TV Series (segmented),Male,Food
121,187,ABC,Moonlight Madness,7.0,32.0,TV Series (segmented),Male,Loneliness
122,189,ABC,Scooby at the Center of the World,7.1,31.0,TV Series (segmented),Male,Trespassing
123,190,ABC,Scooby's Trip to Ahz,7.1,31.0,TV Series (segmented),Female,Imagination
