Sno,index,network,title,imdb,engagement,format,monster_gender,motive
322,446,Cartoon Network,Menace of the Manticore,8.2,212.0,TV Series,Male,Competition
323,447,Cartoon Network,Attack of the Headless Horror,8.1,196.0,TV Series,Male,Competition
324,448,Cartoon Network,A Haunting in Crystal Cove,8.6,211.0,TV Series,Male,Theft
325,449,Cartoon Network,Dead Justice,8.2,194.0,TV Series,Male,Competition
326,450,Cartoon Network,Pawn of Shadows,8.8,212.0,TV Series,Female,Theft
327,451,Cartoon Network,All Fear the Freak,9.2,272.0,TV Series,Male,Theft
328,452,Warner Home Video,Scooby-Doo! Legend of the Phantosaur,6.8,1899.0,Movie,Male,Natural Resource
329,453,Warner Home Video,Scooby-Doo! Music of the Vampire,6.5,1573.0,Movie,Male,Competition
330,454,Warner Home Video,Scooby-Doo! Spooky Games,6.9,195.0,TV Series,Male,Competition
332,457,Cartoon Network,The Night the Clown Cried II - Tears of Doom,8.4,197.0,TV Series,Male,Abduction
333,458,Cartoon Network,Web of the Dreamweaver!,8.2,192.0,TV Series,Male,Competition
334,459,Cartoon Network,The Hodag of Horror,8.4,188.0,TV Series,Male,Theft
335,460,Cartoon Network,Art of Darkness,7.7,177.0,TV Series,Male,Competition
336,461,Cartoon Network,The Gathering Gloom,8.2,172.0,TV Series,Male,Natural Resource
337,462,Cartoon Network,Night on Haunted Mountain,8.3,183.0,TV Series,Female,Treasure
338,463,Cartoon Network,Grrim Judgment,8.3,176.0,TV Series,Male,Competition
339,464,Cartoon Network,Night Terrors,9.1,202.0,TV Series,Male,Competition
340,466,Cartoon Network,Scarebear,8.2,169.0,TV Series,Male,Preservation
341,467,Cartoon Network,Wrath of the Krampus,8.9,207.0,TV Series,Male,Theft
342,468,Cartoon Network,Heart of Evil,7.6,174.0,TV Series,Male,Theft
343,469,Cartoon Network,Theater of Doom,8.6,180.0,TV Series,Male,Theft
344,470,Warner Home Video,Big Top Scooby-Doo!,6.9,1442.0,Movie,Male,Theft
345,471,Warner Home Video,Scooby-Doo! Haunted Holidays,7.0,392.0,TV Series,Male,Competition
346,472,Warner Home Video,Scooby-Doo! Mask of the Blue Falcon,6.8,1485.0,Movie,Male,Competition
347,475,Cartoon Network,Dance of the Undead,8.0,180.0,TV Series,Male,Competition
348,476,Cartoon Network,The Devouring,7.8,166.0,TV Series,Male,Competition
349,477,Cartoon Network,Stand and Deliver,8.3,171.0,TV Series,Male,Competition
350,479,Cartoon Network,Nightmare in Red,8.9,187.0,TV Series,Male,Preservation
351,480,Cartoon Network,Dark Night of Hunters,8.4,165.0,TV Series,Female,Competition
352,481,Cartoon Network,Gates of Gloom,8.7,169.0,TV Series,Male,Treasure
353,482,Cartoon Network,Through the Curtain,9.0,184.0,TV Series,Male,Conquer
354,483,Cartoon Network,Come Undone,9.3,260.0,TV Series,Male,Conquer
355,484,Warner Home Video,Scooby-Doo Adventure: The Mystery Map!,5.1,294.0,Movie,Male,Treasure
356,485,Warner Home Video,Scooby-Doo! Stage Fright,7.1,1380.0,Movie,Male,Theft
357,486,Warner Home Video,Scooby-Doo! and the Spooky Scarecrow,7.3,403.0,TV Series,Male,Theft
358,487,Warner Home Video,Scooby-Doo! Mecha Mutt Menace,6.5,242.0,TV Series,Male,Competition
359,488,Warner Home Video,Scooby-Doo! Wrestlemania Mystery,6.3,2825.0,Movie,Male,Competition
360,489,Warner Home Video,Scooby-Doo! Ghastly Goals!,6.6,216.0,TV Series,Male,Theft
361,490,Warner Home Video,Scooby-Doo! Frankencreepy,6.7,1541.0,Movie,Male,Competition
362,491,Warner Home Video,Scooby-Doo! Moon Monster Madness,6.5,1269.0,Movie,Male,Competition
363,492,Warner Home Video,Scooby-Doo! and the Beach Beastie,7.1,188.0,TV Series,Male,Theft
364,494,Cartoon Network,Mystery 101,7.9,122.0,TV Series,Male,Competition
365,495,Cartoon Network,Game of Chicken,7.2,102.0,TV Series,Male,Treasure
366,496,Cartoon Network,All Pawns on Deck,7.4,101.0,TV Series,Male,Treasure
367,497,Cartoon Network,Poodle Justice,7.3,85.0,TV Series,Male,Competition
368,498,Cartoon Network,Grand Scam,7.3,78.0,TV Series,Male,Competition
369,499,Cartoon Network,Trading Chase,7.6,80.0,TV Series,Male,Theft
370,500,Cartoon Network,"Be Quiet, Scooby-Doo!",7.5,84.0,TV Series,Male,Competition
371,501,Cartoon Network,Party Like It's 1899,8.2,88.0,TV Series,Male,Theft
372,502,Cartoon Network,Screama Donna,7.4,72.0,TV Series,Female,Competition
373,503,Cartoon Network,Kitchen Frightmare,7.5,75.0,TV Series,Male,Competition
374,504,Cartoon Network,"Me, Myself, and A.I.",7.5,72.0,TV Series,Male,Competition
375,505,Cartoon Network,Area 51 Adjacent,7.4,71.0,TV Series,Male,Competition
376,506,Cartoon Network,"Where There's a Will, There's a Wraith",7.5,81.0,TV Series,Male,Inheritance
377,507,Cartoon Network,Scooby-Doo! Knight Time Terror,6.6,288.0,TV Series,Male,Treasure
378,508,Cartoon Network,Scary Christmas,7.4,75.0,TV Series,Male,Theft
379,509,Cartoon Network,"If You Can't Scooby-Doo the Time,Don't Scooby-Doo the Crime",7.7,72.0,TV Series,Male,Theft
380,510,Cartoon Network,Gremlin on a Plane,7.8,66.0,TV Series,Male,Competition
381,511,Cartoon Network,Sorcerer Snacks Scare,7.9,67.0,TV Series,Male,Competition
382,512,Cartoon Network,Saga of the Swamp Beast,8.2,67.0,TV Series,Male,Theft
383,513,Cartoon Network,"Be Cold, Scooby-Doo!",7.5,63.0,TV Series,Male,Preservation
384,514,Warner Home Video,LEGO Scooby-Doo! Haunted Hollywood,5.9,1144.0,Movie,Male,Competition
385,515,Cartoon Network,Giant Problems,7.4,58.0,TV Series,Male,Competition
386,516,Boomerang,Eating Crow,7.4,54.0,TV Series,Male,Natural Resource
387,517,Warner Home Video,Scooby-Doo! and WWE: Curse of the Speed Demon,6.2,1179.0,Movie,Male,Competition
388,518,Warner Home Video,Scooby-Doo! Shaggy's Showdown,6.8,1120.0,Movie,Male,Theft
389,519,Boomerang,I Scooby Dooby Do,7.2,58.0,TV Series,Female,Competition
390,520,Boomerang,El Bandito,7.6,52.0,TV Series,Male,Treasure
391,521,Boomerang,Into the Mouth Madcap,7.2,50.0,TV Series,Male,Competition
392,522,Boomerang,The Norse Case Scenario,7.3,48.0,TV Series,Male,Natural Resource
393,523,Boomerang,The People vs. Fred Jones,7.7,50.0,TV Series,Male,Theft
394,525,Boomerang,Some Fred Time,8.2,53.0,TV Series,Male,Competition
395,526,Boomerang,There Wolf,7.5,40.0,TV Series,Male,Theft
396,527,Boomerang,Renn Scare,7.4,40.0,TV Series,Male,Competition
397,528,Boomerang,How to Train Your Coward,7.6,42.0,TV Series,Male,Theft
398,529,Boomerang,Worst in Show,7.1,38.0,TV Series,Male,Competition
399,532,Boomerang,The Curse of Kaniaku,7.5,39.0,TV Series,Male,Competition
400,533,Boomerang,Vote Velma,6.6,40.0,TV Series,Male,Competition
401,535,Boomerang,In Space,8.0,44.0,TV Series,Male,Natural Resource
402,536,Boomerang,Doo Not Distrub,7.9,50.0,TV Series,Female,Competition
403,537,Boomerang,Silver Scream,7.4,38.0,TV Series,Male,Competition
404,538,Boomerang,Fright of Hand,7.2,35.0,TV Series,Male,Competition
405,539,Boomerang,Greece in the World,6.7,35.0,TV Series,Female,Competition
406,540,Cartoon Network,Batman: The Brave and the Bold: Bat-Mite Presents: Batman's Strangest Cases!,6.6,1698.0,Movie,Male,Conquer
407,541,Boomerang,American Goth,7.1,41.0,TV Series,Male,Competition
408,542,Boomerang,Omelettes Are Forever,7.2,31.0,TV Series,Male,Competition
409,543,Boomerang,Ghost in the Mystery Machine,7.4,36.0,TV Series,Female,Competition
410,544,Boomerang,Naughty or Ice,7.4,38.0,TV Series,Male,Theft
411,545,Boomerang,Night of the Upsetting Shorts,7.3,39.0,TV Series,Male,Competition
412,546,Boomerang,Junkyard Dogs,6.9,37.0,TV Series,Male,Theft
413,547,Boomerang,Protein Titans 2,6.7,33.0,TV Series,Male,Competition
414,548,Boomerang,World of Witchcraft,6.9,33.0,TV Series,Male,Theft
416,550,Boomerang,Professor Huh? Part 6 3/4,7.9,36.0,TV Series,Male,Competition
417,551,Boomerang,Pizza O'Possumm's,6.8,31.0,TV Series,Male,Competition
418,552,Boomerang,The Curse of Half-Beard's Booty,6.8,31.0,TV Series,Male,Treasure
419,553,The CW,Scoobynatural,9.6,6929.0,Crossover,Male,Competition
420,555,Warner Home Video,Scooby-Doo! and the Gourmet Ghost,7.3,825.0,Movie,Male,Competition
422,557,Warner Home Video,Scooby-Doo! and the Curse of the 13th Ghost,6.5,1182.0,Movie,Male,Treasure
423,558,Boomerang,Revenge of the Swamp Monster,7.0,126.0,TV Series,Male,Competition
424,559,Boomerang,A Mystery Solving Gang Divided,7.9,93.0,TV Series,Male,Treasure
425,560,Boomerang,Peebles' Pet Show of Terrible Terrors!,7.9,79.0,TV Series,Male,Competition
426,561,Boomerang,"Elementary, My Dear Shaggy!",8.1,78.0,TV Series,Male,Theft
427,563,Boomerang,Ollie Ollie In-Come Free!,7.3,84.0,TV Series,Male,Theft
428,564,Boomerang,The Scooby of a Thousand Faces!,8.1,74.0,TV Series,Male,Treasure
429,565,Boomerang,The Cursed Cabinet of Professor Madds Markson,8.3,70.0,TV Series,Male,Entertainment
430,566,Boomerang,When Urkel-Bots Go Bad!,6.5,74.0,TV Series,Male,Natural Resource
431,567,Boomerang,The Fastest Food Fiend!,7.5,52.0,TV Series,Male,Competition
432,568,Boomerang,Attack of the Weird Al-Osaurus!,7.5,61.0,TV Series,Male,Natural Resource
433,569,Boomerang,"Now You Sia, Now You Don't!",7.4,59.0,TV Series,Female,Theft
434,570,Boomerang,Quit Clowning!,7.4,47.0,TV Series,Male,Competition
435,571,Boomerang,"What a Night, for a Dark Knight",8.7,84.0,TV Series,Male,Theft
436,572,Cartoon Network,Cartoon Feud,6.4,38.0,Crossover,Male,Competition
437,573,Warner Bros. Picture,SCOOB!,5.7,20226.0,Movie (Theatrical),Male,Treasure
438,574,Boomerang,The Nightmare Ghost of Psychic U!,8.1,38.0,TV Series,Male,Inheritance
439,575,Boomerang,"The Sword, the Fox and the Scooby-Doo!",8.8,35.0,TV Series,Male,Theft
440,577,Boomerang,Hollywood Knights!,8.1,25.0,TV Series,Male,Inheritance
441,578,Boomerang,The New York Underground!,7.8,27.0,TV Series,Male,Treasure
442,579,Boomerang,Fear the Fire Beast!,7.7,23.0,TV Series,Male,Competition
443,580,Boomerang,Too Many Dummies!,8.2,28.0,TV Series,Male,Competition
444,581,Boomerang,Dance Matron of Mayhem,7.6,22.0,TV Series,Female,Competition
445,582,Boomerang,The Wedding Witch of Wainsly Hall!,8.6,19.0,TV Series,Female,Theft
446,583,Boomerang,A Run Cycle Through Time!,7.9,21.0,TV Series,Male,Simulation
447,584,Boomerang,I Put a Hex on You!,8.4,25.0,TV Series,Female,Competition
448,585,Boomerang,The High School Wolfman's Musical Lament!,7.6,27.0,TV Series,Male,Competition
449,586,Boomerang,Space Station Scooby,8.2,24.0,TV Series,Male,Theft
463,600,Warner Home Video,"Happy Halloween, Scooby-Doo!",6.3,978.0,Movie,Male,Natural Resource
