,imdb,engagement,monster_gender,motive,zoinks,jinkies,monster_name,culprit_gender
63,7.3,77.0,"Male,Male,Male",Treasure,7.0,0.0,"Ghost of Captain Pescado,Kelp Monster,Octopus Monster",Male
64,6.8,75.0,Male,Competition,8.0,0.0,Rambling Ghost,Male
65,7.7,84.0,"Male,Male,Male",Theft,5.0,0.0,"Strawberry Technicolor Phantom,Chocolate Technicolor Phantom,Vanilla Technicolor Phantom",Male
66,7.5,81.0,"Male,Male,Male",Counterfeit,3.0,1.0,"Ghost of Benedict Arnold,Ghost of William Demont,Ghost of Major Andre","Male,Male"
67,7.4,71.0,"Male,Male,Male",Natural Resource,8.0,0.0,"Viking Ghost,Viking Ghost,Viking Ghost",Male
68,8.2,104.0,Male,Competition,11.0,1.0,Gramps the Vamp,Male
69,7.4,76.0,Male,Theft,10.0,0.0,Pterodactyl Ghost,Male
70,7.9,77.0,Male,Competition,10.0,2.0,Phantom of Milo Booth,Male
71,7.4,75.0,Male,Theft,10.0,0.0,Phantom Racer,Male
72,8.1,78.0,"Female,Male,",Smuggling,9.0,0.0,"Ghost of Witch McCoy,Zombie","Female,Male"
73,7.7,78.0,Male,Theft,8.0,0.0,Futuristic Monster,"Male,Male"
74,7.4,71.0,"Male,Male",Smuggling,10.0,2.0,"Creepy Heap from the Deep,Soulless Captain Clements","Male,Male"
75,7.5,96.0,"Male,Male,Male",Smuggling,10.0,0.0,"Willawa,Owl Men,Owl Men",Male
76,7.3,101.0,"Male,Male,Male",Theft,9.0,1.0,"Skeleton Men,Skeleton Men,Skeleton Men",Male
77,7.1,98.0,Male,Natural Resource,8.0,0.0,Snow Beast,Male
78,8.0,107.0,Female,Inheritance,7.0,0.0,Ghost Witch of Old Salem,"Female,Male"
79,7.6,92.0,Male,Treasure,9.0,2.0,Tar Monster,Male
80,7.7,90.0,"Male,Female",Smuggling,7.0,1.0,"Ghost of Finnyan McDuff,Loch Ness Monster",Male
81,7.7,80.0,Male,Smuggling,9.0,2.0,Old Iron Face,Female
82,7.2,91.0,Male,Natural Resource,8.0,2.0,Jaguaro,"Male,Male"
83,8.0,88.0,Male,Theft,0.0,0.0,Cat Creature,Male
84,7.5,80.0,Male,Natural Resource,0.0,0.0,Mantis,Male
85,7.5,84.0,Male,Smuggling,0.0,0.0,Phantom,Male
86,7.5,85.0,Male,Theft,0.0,0.0,Moon Monster,Male
87,7.5,92.0,Male,Treasure,4.0,2.0,Ghostly Gondolier,Male
88,7.2,83.0,Male,Treasure,3.0,1.0,Ghost of Juan Carlos,Male
