index,series_name,network,imdb,engagement,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_species,monster_real,monster_amount,suspects_amount,arrested,culprit_gender,culprit_amount,motive,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo
24,"Scooby Doo, Where Are You!",CBS,8.2,292.0,1970-10-24,21,TV Series,Werewolf,Male,Animal,Human,False,1,0,True,Male,1,Smuggling,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Scooby Doo, Where Are You!",CBS,7.9,282.0,1970-10-31,21,TV Series,Wax Phantom,Male,Ghost,Human,False,1,3,True,Male,1,Theft,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
26,The New Scooby-Doo Movies,CBS,6.9,138.0,1972-09-09,43,TV Series,"Giant Bat,Geronimo,Gunslinger,Robot Gunslinger,Cactus","Male,Male,Male,Male,None","Animal,Ancient,Ancient,Mechanical,Plant","Bat,Human,Human,Robot,Cactus",False,2,2,True,"Male,Male",2,Natural Resource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27,The New Scooby-Doo Movies,CBS,7.8,232.0,1972-09-16,41,TV Series,"Hooded Man,Skeletons","Male,Male","Disguised,Skeleton","Human,Human",False,2,1,True,Female,1,Counterfeit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0
28,The New Scooby-Doo Movies,CBS,7.9,119.0,1972-09-23,41,TV Series,The Vulture,Female,Animal,Vulture,False,1,2,False,"Male,Female",2,Safety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,The New Scooby-Doo Movies,CBS,7.9,116.0,1972-09-30,43,TV Series,Scarecrow,Male,Possessed Object,Human,False,1,4,True,Male,1,Treasure,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0
30,The New Scooby-Doo Movies,CBS,7.9,111.0,1972-10-07,43,TV Series,"Ghost of Captain Moody,Ghost of Captain Moody","Male,Male","Ghost,Ghost","Human,Human",False,2,1,True,"Male,Male",2,Inheritance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,The New Scooby-Doo Movies,CBS,7.7,88.0,1972-10-14,41,TV Series,"The Gargoyle,Phantoms,Phantoms","Male,Male,Male","Possessed Object,Ghost,Ghost","Gargoyle,Human,Human",False,3,4,True,Male,1,Theft,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
32,The New Scooby-Doo Movies,CBS,7.8,90.0,1972-10-21,41,TV Series,"Ghost,Sheik,Mummy,Pirate,Dragon,Wolfman,Grizzly Bear,Indian,Mr. Hyde","Male,Male,Male,Male,Male,Male,Male,Male,Male","Ghost,Disguised,Undead,Disguised,Animal,Animal,Animal,Ancient,Disguised","Human,Human,Human,Human,Dragon,Human,Bear,Human,Human",False,9,4,False,Male,1,Preservation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
33,The New Scooby-Doo Movies,CBS,8.5,109.0,1972-10-28,41,TV Series,"Shark Men,Shark Men","Male,Male","Animal,Animal","Shark,Shark",False,2,2,True,Male,1,Treasure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
