index,gender,medal,athlete,abb,type,year
0,Men,Gold,LARSEN Finn,DEN,Archery,1980
1,Men,Silver,BRENNE Manfred,FRG,Archery,1980
2,Men,Bronze,SATO Masao,JPN,Archery,1980
3,Men,Gold,GEISS H.,FRG,Archery,1980
4,Men,Silver,GRUN Guy,BEL,Archery,1980
5,Men,Bronze,BUCHANAN J.,GBR,Archery,1980
6,Men,Gold,PARKER T.,CAN,Archery,1980
7,Men,Silver,STEBEKK Oddbjorn,NOR,Archery,1980
8,Men,Bronze,LAFONT G.,FRA,Archery,1980
9,Men,Gold,CHAVEZ Alfredo,MEX,Archery,1980
10,Men,Silver,WALSTRA Jappie,NED,Archery,1980
11,Men,Bronze,VAN DER LIEFVOORT H.,NED,Archery,1980
12,Men,Gold,KARKAINEN K.,FIN,Archery,1980
13,Men,Silver,KISHINO Tadashi,JPN,Archery,1980
14,Men,Bronze,ANDERSSON-TANNERSTAD Kent,SWE,Archery,1980
15,Men,Gold,CHAPUIS J. M.,FRA,Archery,1980
16,Men,Silver,ZEISE L.,USA,Archery,1980
17,Men,Bronze,THION J.,FRA,Archery,1980
18,Men,Gold,HENKER Siegmar,FRG,Archery,1980
19,Men,Silver,TREWHELLA Ian,AUS,Archery,1980
20,Men,Bronze,KRISTIANSEN Svein,NOR,Archery,1980
21,Men,Gold,KIM Yoon Bae,KOR,Archery,1980
22,Men,Silver,PETSCHNIG M.,AUT,Archery,1980
23,Men,Bronze,LETTNER Felix,AUT,Archery,1980
24,Women,Gold,ROSVIK Marie,NOR,Archery,1980
25,Women,Silver,KWIECINSKA Ewa,POL,Archery,1980
26,Women,Bronze,HYBOIS Marie-Francoise,FRA,Archery,1980
27,Women,Gold,FAIRHALL Neroli,NZL,Archery,1980
28,Women,Silver,KORVA Elli,FIN,Archery,1980
29,Women,Bronze,DERSEN Anneliese,FRG,Archery,1980
30,Women,Gold,OHMAE Chiyoko,JPN,Archery,1980
31,Women,Silver,-,,Archery,1980
32,Women,Bronze,-,,Archery,1980
33,Women,Gold,SCHWEIZER Rosa,AUT,Archery,1980
34,Women,Silver,WILLIAMSON Valerie,GBR,Archery,1980
35,Women,Bronze,-,,Archery,1980
36,Women,Gold,UNSICKER K.,USA,Archery,1980
37,Women,Silver,RIMMER Eve M.,NZL,Archery,1980
38,Women,Bronze,MATTHEWS G.,GBR,Archery,1980
39,Men,Gold,BRENNE Manfred,FRG,Archery,1980
40,Men,Gold,BUTENHOFF Hilmar,FRG,Archery,1980
41,Men,Gold,POHL K.,FRG,Archery,1980
42,Men,Silver,APPELKVIST Sune,SWE,Archery,1980
43,Men,Silver,BABKIN Nicolai,SWE,Archery,1980
44,Men,Silver,CARSSON Jan O.,SWE,Archery,1980
45,Men,Bronze,,,Archery,1980
46,Men,Gold,BARDOEL Filip,BEL,Archery,1980
47,Men,Gold,GRUN Guy,BEL,Archery,1980
48,Men,Gold,MEYSEN Jozef,BEL,Archery,1980
49,Men,Silver,BUCHANAN J.CORRIE Alan,GBR,Archery,1980
50,Men,Silver,SMITH I.,GBR,Archery,1980
51,Men,Bronze,GEISS H.PFEFFER U.SCHMIDBERGER R.,FRG,Archery,1980
52,Men,Gold,BAREFOOT David,CAN,Archery,1984
53,Men,Silver,-,,Archery,1984
54,Men,Bronze,-,,Archery,1984
55,Men,Gold,THORNE Philip,GBR,Archery,1984
56,Men,Silver,-,,Archery,1984
57,Men,Bronze,-,,Archery,1984
58,Men,Gold,LOVVOLD Kjell,NOR,Archery,1984
59,Men,Silver,KUYS Alfons,BEL,Archery,1984
60,Men,Bronze,TANQUEREL Benoit,FRA,Archery,1984
61,Men,Gold,THULIN Jan,SWE,Archery,1984
62,Men,Silver,REBOLLO Antonio,ESP,Archery,1984
63,Men,Bronze,TIRRONEN Raimo,FIN,Archery,1984
64,Men,Gold,GRUN Guy,BEL,Archery,1984
65,Men,Silver,WEIJERS J.,NED,Archery,1984
66,Men,Bronze,LAUKKANEN Heikki,FIN,Archery,1984
67,Men,Gold,LETTNER Felix,AUT,Archery,1984
68,Men,Silver,KONEMAN K.,NED,Archery,1984
69,Men,Bronze,STEBEKK Oddbjorn,NOR,Archery,1984
70,Men,Gold,BAUDOIS Michel,SUI,Archery,1984
71,Men,Silver,KIM H. S.,KOR,Archery,1984
72,Men,Bronze,DE MASI Pasquale,ITA,Archery,1984
73,Men,Gold,HOLM Kenneth,SWE,Archery,1984
74,Men,Silver,-,,Archery,1984
75,Men,Bronze,-,,Archery,1984
76,Men,Gold,CHAPUIS J. M.,FRA,Archery,1984
77,Men,Silver,BOUCHITE C.,FRA,Archery,1984
78,Men,Bronze,KRISHNER Patrick,USA,Archery,1984
79,Men,Gold,FRANK Gerhard,AUT,Archery,1984
80,Men,Silver,TREWHELLA Ian,AUS,Archery,1984
81,Men,Bronze,ARNOLD Ernest,GBR,Archery,1984
82,Women,Gold,HILDERLEY Helen,GBR,Archery,1984
83,Women,Silver,LEAPER Beverley,GBR,Archery,1984
84,Women,Bronze,-,,Archery,1984
85,Women,Gold,DERSEN Anneliese,FRG,Archery,1984
86,Women,Silver,LACOMBLEZ Martine,BEL,Archery,1984
87,Women,Bronze,MONACO Irene,ITA,Archery,1984
88,Women,Gold,HAGEL Susan,USA,Archery,1984
89,Women,Silver,SUZUKI Hifumi,JPN,Archery,1984
90,Women,Bronze,DAVIES Susan,AUS,Archery,1984
91,Women,Gold,BALME M. P.,FRA,Archery,1984
92,Women,Silver,SCHWEIZER Rosa,AUT,Archery,1984
93,Women,Bronze,GRAY Anne,GBR,Archery,1984
94,Men,Gold,,BEL,Archery,1984
95,Men,Silver,,NED,Archery,1984
96,Men,Bronze,,GBR,Archery,1984
97,Men,Gold,AHLINDER S.BABKIN Nicolai,SWE,Archery,1984
98,Men,Gold,TJERNELL Arne,SWE,Archery,1984
99,Men,Silver,DUCRET Rene,FRA,Archery,1984
100,Men,Silver,HAMART George,FRA,Archery,1984
101,Men,Silver,LELON Daniel,FRA,Archery,1984
102,Men,Bronze,BOECKERS Manfred,FRG,Archery,1984
103,Men,Bronze,BRENNE Manfred,FRG,Archery,1984
104,Men,Bronze,BUTENHOFF Kilmar,FRG,Archery,1984
105,Men,Gold,,FRA,Archery,1984
106,Men,Silver,,AUS,Archery,1984
107,Men,Bronze,,GBR,Archery,1984
108,Men,Gold,,FRA,Archery,1984
109,Men,Silver,,,Archery,1984
110,Men,Bronze,,,Archery,1984
111,Men,Gold,KUYS Alfons,BEL,Archery,1988
112,Men,Silver,TASHIRO Kiyotaka,JPN,Archery,1988
113,Men,Bronze,KIM Kyung Sun,KOR,Archery,1988
114,Men,Gold,AN Tae Sung,KOR,Archery,1988
115,Men,Silver,SCALISI Carmelo,BEL,Archery,1988
116,Men,Bronze,REBOLLO Antonio,ESP,Archery,1988
117,Men,Gold,BAUDOIS Michel,SUI,Archery,1988
118,Men,Silver,KIM Hee Sook,KOR,Archery,1988
119,Men,Bronze,WOLF Udo,FRG,Archery,1988
120,Men,Gold,RANTAVOURI Martti,FIN,Archery,1988
121,Men,Silver,FUJII Narumi,JPN,Archery,1988
122,Men,Bronze,STAUNER Michael,USA,Archery,1988
123,Women,Gold,LEE Kyung Hee,KOR,Archery,1988
124,Women,Silver,DERSEN Anneliese,FRG,Archery,1988
125,Women,Bronze,MORGENSEN Birthe,DEN,Archery,1988
126,Women,Gold,WATTS Karen,GBR,Archery,1988
127,Women,Silver,KORVA Elli,FIN,Archery,1988
128,Women,Bronze,FANTATO Paola,ITA,Archery,1988
129,Men,Gold,AN Tae Sung,KOR,Archery,1988
130,Men,Gold,CHO Hyun Kwan,KOR,Archery,1988
131,Men,Gold,KIM Sung Hee,KOR,Archery,1988
132,Men,Gold,LEE Hak Young,KOR,Archery,1988
133,Men,Silver,KALLUNKI Keijo,FIN,Archery,1988
134,Men,Silver,TIRRONEN Raimo,FIN,Archery,1988
135,Men,Silver,VIINIKKA Veijo,FIN,Archery,1988
136,Men,Bronze,COURTILLON Lucien,FRA,Archery,1988
137,Men,Bronze,FAVRE Jean-Michel,FRA,Archery,1988
138,Men,Bronze,LELOU Daniel,FRA,Archery,1988
139,Men,Gold,JANG Ki Ki,KOR,Archery,1988
140,Men,Gold,KIM Hee Sook,KOR,Archery,1988
141,Men,Gold,KIM Ho Sung,KOR,Archery,1988
142,Men,Gold,YOON Choon Heung,KOR,Archery,1988
143,Men,Silver,AMADI Fabio,ITA,Archery,1988
144,Men,Silver,GABELLI Giuseppe,ITA,Archery,1988
145,Men,Silver,KOTEN Giuliano,ITA,Archery,1988
146,Men,Silver,PIZZORNI Orazio,ITA,Archery,1988
147,Men,Bronze,INOUE Yoshihiro,JPN,Archery,1988
148,Men,Bronze,OKANISHI Michio,JPN,Archery,1988
149,Men,Bronze,UCHIYAMA Junji,JPN,Archery,1988
150,Men,Bronze,YOSHIDA Shigetoshi,JPN,Archery,1988
151,Women,Gold,ANIC Wilma,GBR,Archery,1988
152,Women,Gold,COOPER Joan,GBR,Archery,1988
153,Women,Gold,WATTS Karen,GBR,Archery,1988
154,Women,Silver,DROSDZIOK Ursula,FRG,Archery,1988
155,Women,Silver,ENZMANN Inge,FRG,Archery,1988
156,Women,Silver,KIEBLICH Karin,FRG,Archery,1988
157,Women,Bronze,COLLIN Sirkka Liisa,FIN,Archery,1988
158,Women,Bronze,JOKIVIRTA Hilkka,FIN,Archery,1988
159,Women,Bronze,KORVA Elli,FIN,Archery,1988
160,Men,Gold,MINAMI Koichi,JPN,Archery,1992
161,Men,Silver,SPIZZIRRI Richard,USA,Archery,1992
162,Men,Bronze,MERCANDELLI Giampiero,ITA,Archery,1992
163,Men,Gold,PIZZORNI Orazio,ITA,Archery,1992
164,Men,Silver,NORTMANN Hermann,GER,Archery,1992
165,Men,Bronze,WOLF Udo,GER,Archery,1992
166,Men,Gold,FUDGE Jens,DEN,Archery,1992
167,Men,Silver,NISHII Kenichi,JPN,Archery,1992
168,Men,Bronze,CHO Hyun Kwan,KOR,Archery,1992
169,Women,Gold,FANTATO Paola,ITA,Archery,1992
170,Women,Silver,KORVA Elli,FIN,Archery,1992
171,Women,Bronze,SUZUKI Hifumi,JPN,Archery,1992
172,Women,Gold,GRISHKO Tatiana,EUN,Archery,1992
173,Women,Silver,THULIN Siv,SWE,Archery,1992
174,Women,Bronze,TVED Hanne,DEN,Archery,1992
175,Men,Gold,BAHLS Karl,GER,Archery,1992
176,Men,Gold,NORTMANN Hermann,GER,Archery,1992
177,Men,Gold,WOLF Udo,GER,Archery,1992
178,Men,Silver,GABELLI Giuseppe,ITA,Archery,1992
179,Men,Silver,MALOVINI Luciano,ITA,Archery,1992
180,Men,Silver,PIZZORNI Orazio,ITA,Archery,1992
181,Men,Bronze,CHOI Jang Sub,KOR,Archery,1992
182,Men,Bronze,JANG Ki Ki,KOR,Archery,1992
183,Men,Bronze,LEE Ouk Soo,KOR,Archery,1992
184,Men,Gold,CHO Hyun Kwan,KOR,Archery,1992
185,Men,Gold,KIM Sung Hee,KOR,Archery,1992
186,Men,Gold,LEE Hak Young,KOR,Archery,1992
187,Men,Silver,FERNANDEZ Jose,ESP,Archery,1992
188,Men,Silver,HERMOSIN Jose Luis,ESP,Archery,1992
189,Men,Silver,REBOLLO Antonio,ESP,Archery,1992
190,Men,Bronze,FAVRE Jean-Michel,FRA,Archery,1992
191,Men,Bronze,GARCIA Jean Francois,FRA,Archery,1992
192,Men,Bronze,LE BRAS Rene,FRA,Archery,1992
193,Men,Gold,RANTAVOURI Martti,FIN,Archery,1996
194,Men,Silver,MACCAFERRI Kurt,SUI,Archery,1996
195,Men,Bronze,MINAMI Koichi,JPN,Archery,1996
196,Men,Gold,LEE Ouk Soo,KOR,Archery,1996
197,Men,Silver,WALSTRA Jappie,NED,Archery,1996
198,Men,Bronze,WOLF Udo,GER,Archery,1996
199,Men,Gold,OLEJNIK Ryszard,POL,Archery,1996
200,Men,Silver,GARCIA Jean Francois,FRA,Archery,1996
201,Men,Bronze,AN Tae Sung,KOR,Archery,1996
202,Women,Gold,SUZUKI Hifumi,JPN,Archery,1996
203,Women,Silver,TRUCCOLO Sandra,ITA,Archery,1996
204,Women,Bronze,FANTATO Paola,ITA,Archery,1996
205,Women,Gold,OLEJNIK Malgorzata,POL,Archery,1996
206,Women,Silver,CHAPMAN Anita,GBR,Archery,1996
207,Women,Bronze,HYBOIS Marie-Francoise,FRA,Archery,1996
208,Men,Gold,NORTMANN Hermann,GER,Archery,1996
209,Men,Gold,OEHME Mario,GER,Archery,1996
210,Men,Gold,WOLF Udo,GER,Archery,1996
211,Men,Silver,GABELLI Giuseppe,ITA,Archery,1996
212,Men,Silver,MAI Marco,ITA,Archery,1996
213,Men,Silver,MALOVINI Luciano,ITA,Archery,1996
214,Men,Bronze,LEE Ouk Soo,KOR,Archery,1996
215,Men,Bronze,OH Doo,KOR,Archery,1996
216,Men,Bronze,YOU In,KOR,Archery,1996
217,Men,Gold,AN Tae Sung,KOR,Archery,1996
218,Men,Gold,CHO Hyeon,KOR,Archery,1996
219,Men,Gold,LEE Hak Young,KOR,Archery,1996
220,Men,Silver,JONSKI Stanislaw,POL,Archery,1996
221,Men,Silver,LEZANSKI Tomasz,POL,Archery,1996
222,Men,Silver,OLEJNIK Ryszard,POL,Archery,1996
223,Men,Bronze,ISHIDA Mitoya,JPN,Archery,1996
224,Men,Bronze,NISHII Kenichi,JPN,Archery,1996
225,Men,Bronze,SATO Masao,JPN,Archery,1996
226,Women,Gold,FANTATO Paola,ITA,Archery,1996
227,Women,Gold,LAZZARONI Roberta,ITA,Archery,1996
228,Women,Gold,TRUCCOLO Sandra,ITA,Archery,1996
229,Women,Silver,MATSUEDA Shigeko,JPN,Archery,1996
230,Women,Silver,SUZUKI Hifumi,JPN,Archery,1996
231,Women,Silver,YONEZAWA Masako,JPN,Archery,1996
232,Women,Bronze,CHAPMAN Anita,GBR,Archery,1996
233,Women,Bronze,GALE Rebecca,GBR,Archery,1996
234,Women,Bronze,SMITH Kathleen,GBR,Archery,1996
235,Men,Gold,SEBEK Zdenek,CZE,Archery,2000
236,Men,Silver,HATEM Olivier,FRA,Archery,2000
237,Men,Bronze,MILADINOVIC Dejan,FRA,Archery,2000
238,Men,Gold,LEE Hong Gu,KOR,Archery,2000
239,Men,Silver,JUNG Young Joo,KOR,Archery,2000
240,Men,Bronze,DE PELLEGRIN Oscar,ITA,Archery,2000
241,Men,Gold,AN Tae Sung,KOR,Archery,2000
242,Men,Silver,ATAMANENKO Serhiy,UKR,Archery,2000
243,Men,Bronze,LYOCSA Imrich,SVK,Archery,2000
244,Women,Gold,FANTATO Paola,ITA,Archery,2000
245,Women,Silver,SMITH Kathleen,GBR,Archery,2000
246,Women,Bronze,KO Hee Sook,KOR,Archery,2000
247,Women,Gold,CHAPMAN Anita,GBR,Archery,2000
248,Women,Silver,OLEJNIK Malgorzata,POL,Archery,2000
249,Women,Bronze,KORZENIOWSKA Malgorzata,POL,Archery,2000
250,Men,Gold,DE PELLEGRIN Oscar,ITA,Archery,2000
251,Men,Gold,CARRUBBA Salvatore,ITA,Archery,2000
252,Men,Gold,GABELLI Giuseppe,ITA,Archery,2000
253,Men,Silver,EST Charles,FRA,Archery,2000
254,Men,Silver,HATEM Olivier,FRA,Archery,2000
255,Men,Silver,MILADINOVIC Dejan,FRA,Archery,2000
256,Men,Bronze,CHO Hyun Kwan,KOR,Archery,2000
257,Men,Bronze,LEE Hong Gu,KOR,Archery,2000
258,Men,Bronze,LEE Ouk Soo,KOR,Archery,2000
259,Women,Gold,FANTATO Paola,ITA,Archery,2000
260,Women,Gold,MENCONI Anna,ITA,Archery,2000
261,Women,Gold,TRUCCOLO Sandra,ITA,Archery,2000
262,Women,Silver,CHAPMAN Anita,GBR,Archery,2000
263,Women,Silver,SMITH Kathleen,GBR,Archery,2000
264,Women,Silver,WHITE Jane,GBR,Archery,2000
265,Women,Bronze,ISOZAKI Naomi,JPN,Archery,2000
266,Women,Bronze,SUZUKI Hifumi,JPN,Archery,2000
267,Women,Bronze,YONEZAWA Masako,JPN,Archery,2000
268,Men,Gold,CAVANAGH John,GBR,Archery,2004
269,Men,Silver,GROENBERG Anders,SWE,Archery,2004
270,Men,Bronze,FABRY Jeffrey,USA,Archery,2004
271,Men,Gold,OEHME Mario,GER,Archery,2004
272,Men,Silver,JUNG Young Joo,KOR,Archery,2004
273,Men,Bronze,LEE Hong Gu,KOR,Archery,2004
274,Men,Gold,LYOCSA Imrich,SVK,Archery,2004
275,Men,Silver,LEZANSKI Tomasz,POL,Archery,2004
276,Men,Bronze,AN Tae Sung,KOR,Archery,2004
277,Women,Gold,FANTATO Paola,ITA,Archery,2004
278,Women,Silver,ISOZAKI Naomi,JPN,Archery,2004
279,Women,Bronze,HIRASAWA Nako,JPN,Archery,2004
280,Women,Gold,WANG Yanhong,CHN,Archery,2004
281,Women,Silver,KARPMAICHAN Wasana,THA,Archery,2004
282,Women,Bronze,OLEJNIK Malgorzata,POL,Archery,2004
283,Men,Gold,JUNG Young Joo,KOR,Archery,2004
284,Men,Gold,LEE Hak Young,KOR,Archery,2004
285,Men,Gold,LEE Hong Gu,KOR,Archery,2004
286,Men,Silver,MINAMI Koichi,JPN,Archery,2004
287,Men,Silver,ONODERA Kimimasa,JPN,Archery,2004
288,Men,Silver,SAKODO Shinji,JPN,Archery,2004
289,Men,Bronze,CROSS Aaron,USA,Archery,2004
290,Men,Bronze,FABRY Jeffrey,USA,Archery,2004
291,Men,Bronze,STONE Kevin,USA,Archery,2004
292,Women,Gold,CHAPMAN Anita,GBR,Archery,2004
293,Women,Gold,PARKER Margaret,GBR,Archery,2004
294,Women,Gold,SMITH Kathleen,GBR,Archery,2004
295,Women,Silver,FANTATO Paola,ITA,Archery,2004
296,Women,Silver,MENCONI Anna,ITA,Archery,2004
297,Women,Silver,TRUCCOLO Sandra,ITA,Archery,2004
298,Women,Bronze,KO Hee Sook,KOR,Archery,2004
299,Women,Bronze,LEE Hwa Sook,KOR,Archery,2004
300,Women,Bronze,LEE Kyung Hee,KOR,Archery,2004
301,Men,Gold,DRAHONINSKY David,CZE,Archery,2008
302,Men,Silver,CAVANAGH John,GBR,Archery,2008
303,Men,Bronze,FABRY Jeff,USA,Archery,2008
304,Men,Gold,STUBBS John,GBR,Archery,2008
305,Men,Silver,SIMONELLI Alberto,ITA,Archery,2008
306,Men,Bronze,HORNER Philippe,SUI,Archery,2008
307,Men,Gold,CHENG Changjie,CHN,Archery,2008
308,Men,Silver,VITALE Marco,ITA,Archery,2008
309,Men,Bronze,TSENG Lung Hui,TPE,Archery,2008
310,Men,Gold,DAMBADONDOG Baatarjav,MGL,Archery,2008
311,Men,Silver,MEUNIER Fabrice,FRA,Archery,2008
312,Men,Bronze,CHEN Yegang,CHN,Archery,2008
313,Women,Gold,BROWN Danielle,GBR,Archery,2008
314,Women,Silver,KAMIYA Chieko,JPN,Archery,2008
315,Women,Bronze,CLARKE Mel,GBR,Archery,2008
316,Women,Gold,GIRISMEN Gizem,TUR,Archery,2008
317,Women,Silver,FU Hongzhi,CHN,Archery,2008
318,Women,Bronze,XIAO Yanhong,CHN,Archery,2008
319,Women,Gold,LEE Hwa Sook,KOR,Archery,2008
320,Women,Silver,GAO Fangxia,CHN,Archery,2008
321,Women,Bronze,CARMICHAEL Lindsey,USA,Archery,2008
322,Men,Gold,CHO Hyun Kwan,KOR,Archery,2008
323,Men,Gold,KIM Hong Kyu,KOR,Archery,2008
324,Men,Gold,LEE Hong Gu,KOR,Archery,2008
325,Men,Silver,CHEN Yegang,CHN,Archery,2008
326,Men,Silver,CHENG Changjie,CHN,Archery,2008
327,Men,Silver,DONG Zhi,CHN,Archery,2008
328,Men,Bronze,DE PELLEGRIN Oscar,ITA,Archery,2008
329,Men,Bronze,ESPOSITO Mario,ITA,Archery,2008
330,Men,Bronze,VITALE Marco,ITA,Archery,2008
331,Women,Gold,FU Hongzhi,CHN,Archery,2008
332,Women,Gold,GAO Fangxia,CHN,Archery,2008
333,Women,Gold,XIAO Yanhong,CHN,Archery,2008
334,Women,Silver,KIM Ki Hee,KOR,Archery,2008
335,Women,Silver,KIM Ran Sook,KOR,Archery,2008
336,Women,Silver,LEE Hwa Sook,KOR,Archery,2008
337,Women,Bronze,CERNA Miroslava,CZE,Archery,2008
338,Women,Bronze,KUNCOVA Lenka,CZE,Archery,2008
339,Women,Bronze,SIDKOVA Marketa,CZE,Archery,2008
340,Men,Gold,FABRY Jeff,USA,Archery,2012
341,Men,Silver,DRAHONINSKY David,CZE,Archery,2012
342,Men,Bronze,MURPHY Norbert,CAN,Archery,2012
343,Men,Gold,FORSBERG Jere,FIN,Archery,2012
344,Men,Silver,STUTZMAN Matt,USA,Archery,2012
345,Men,Bronze,HANCI Dogan,TUR,Archery,2012
346,Men,Gold,DE PELLEGRIN Oscar,ITA,Archery,2012
347,Men,Silver,SANAWI Hasihin,MAS,Archery,2012
348,Men,Bronze,TSENG Lung Hui,TPE,Archery,2012
349,Men,Gold,TUCHINOV Timur,RUS,Archery,2012
350,Men,Silver,SHESTAKOV Oleg,RUS,Archery,2012
351,Men,Bronze,OYUN Mikhail,RUS,Archery,2012
352,Women,Gold,BROWN Danielle,GBR,Archery,2012
353,Women,Silver,CLARKE Mel,GBR,Archery,2012
354,Women,Bronze,ARTAKHINOVA Stepanida,RUS,Archery,2012
355,Women,Gold,NEMATI Zahra,IRI,Archery,2012
356,Women,Silver,MIJNO Elisabetta,ITA,Archery,2012
357,Women,Bronze,LI Jinzhi,CHN,Archery,2012
358,Women,Gold,YAN Huilian,CHN,Archery,2012
359,Women,Silver,LEE Hwa Sook,KOR,Archery,2012
360,Women,Bronze,OLSZEWSKA Milena,POL,Archery,2012
361,Men,Gold,OYUN Mikhail,RUS,Archery,2012
362,Men,Gold,SHESTAKOV Oleg,RUS,Archery,2012
363,Men,Gold,TUCHINOV Timur,RUS,Archery,2012
364,Men,Silver,JUNG Young Joo,KOR,Archery,2012
365,Men,Silver,KIM Suk Ho,KOR,Archery,2012
366,Men,Silver,LEE Myeong Gu,KOR,Archery,2012
367,Men,Bronze,CHENG Changjie,CHN,Archery,2012
368,Men,Bronze,DONG Zhi,CHN,Archery,2012
369,Men,Bronze,LI Zongshan,CHN,Archery,2012
370,Women,Gold,KIM Ran Sook,KOR,Archery,2012
371,Women,Gold,KO Hee Sook,KOR,Archery,2012
372,Women,Gold,LEE Hwa Sook,KOR,Archery,2012
373,Women,Silver,GAO Fangxia,CHN,Archery,2012
374,Women,Silver,XIAO Yanhong,CHN,Archery,2012
375,Women,Silver,YAN Huilian,CHN,Archery,2012
376,Women,Bronze,JAVANMARD Zahra,IRI,Archery,2012
377,Women,Bronze,NEMATI Zahra,IRI,Archery,2012
378,Women,Bronze,SHIR MOHAMMADI Razieh,IRI,Archery,2012
379,Men,Gold,WALKER John,GBR,Archery,2016
380,Men,Silver,DRAHONINSKY David,CZE,Archery,2016
381,Men,Bronze,KINIK Peter,SVK,Archery,2016
382,Men,Gold,SHELBY Andre,USA,Archery,2016
383,Men,Silver,SIMONELLI Alberto,ITA,Archery,2016
384,Men,Bronze,MILNE Jonathon,AUS,Archery,2016
385,Men,Gold,RAHIMI Gholamreza,IRI,Archery,2016
386,Men,Silver,NETSIRI Hanreuchai,THA,Archery,2016
387,Men,Bronze,RANJBARKIVAJ Ebrahim,IRI,Archery,2016
388,Women,Gold,STRETTON Jessica,GBR,Archery,2016
389,Women,Silver,FRITH Jo,GBR,Archery,2016
390,Women,Bronze,JENKINS Vicky,GBR,Archery,2016
391,Women,Gold,ZHOU Jiamin,CHN,Archery,2016
392,Women,Silver,LIN Yueshan,CHN,Archery,2016
393,Women,Bronze,KIM Mi Soon,KOR,Archery,2016
394,Women,Gold,NEMATI Zahra,IRI,Archery,2016
395,Women,Silver,WU Chunyan,CHN,Archery,2016
396,Women,Bronze,OLSZEWSKA Milena,POL,Archery,2016
397,Mixed,Gold,WALKER John,GBR,Archery,2016
398,Mixed,Gold,FRITH Jo,GBR,Archery,2016
399,Mixed,Silver,KOO Dong Sub,KOR,Archery,2016
400,Mixed,Silver,KIM Ok Geum,KOR,Archery,2016
401,Mixed,Bronze,DRAHONINSKY David,CZE,Archery,2016
402,Mixed,Bronze,MUSILOVA Sarka,CZE,Archery,2016
403,Mixed,Gold,AI Xinliang,CHN,Archery,2016
404,Mixed,Gold,ZHOU Jiamin,CHN,Archery,2016
405,Mixed,Silver,STUBBS John,GBR,Archery,2016
406,Mixed,Silver,GRINHAM Jodie,GBR,Archery,2016
407,Mixed,Bronze,LEE Ouk Soo,KOR,Archery,2016
408,Mixed,Bronze,KIM Mi Soon,KOR,Archery,2016
409,Mixed,Gold,ZHAO Lixue,CHN,Archery,2016
410,Mixed,Gold,WU Chunyan,CHN,Archery,2016
411,Mixed,Silver,NEMATI Zahra,IRI,Archery,2016
412,Mixed,Silver,RANJBARKIVAJ Ebrahim,IRI,Archery,2016
413,Mixed,Bronze,MIJNO Elisabetta,ITA,Archery,2016
414,Mixed,Bronze,AIROLDI Roberto,ITA,Archery,2016
415,Men,Gold,DE LAS FUENTES Francisco,MEX,Athletics,1980
416,Men,Silver,BIRCH G.,CAN,Athletics,1980
417,Men,Bronze,CAVIGELLI Meinrad,SUI,Athletics,1980
418,Men,Gold,HEDMAN Leif,SWE,Athletics,1980
419,Men,Silver,GRANADOS Arturo,MEX,Athletics,1980
420,Men,Bronze,MOUZAKIS George,GRE,Athletics,1980
421,Men,Gold,MONSALVO Eduardo,MEX,Athletics,1980
422,Men,Silver,SANDOVAL Pedro,MEX,Athletics,1980
423,Men,Bronze,MILLER D.,NZL,Athletics,1980
424,Men,Gold,MCLEOD William,GBR,Athletics,1980
425,Men,Silver,COPELAND Melvin,USA,Athletics,1980
426,Men,Bronze,KOZUCH Ryszard,POL,Athletics,1980
427,Men,Gold,HAVARD Andre,FRA,Athletics,1980
428,Men,Silver,HARBORN Tony,SWE,Athletics,1980
429,Men,Bronze,SWAHN Bertil,SWE,Athletics,1980
430,Men,Gold,THOMSEN Henrik,DEN,Athletics,1980
431,Men,Silver,DUVIVIER,FRA,Athletics,1980
432,Men,Bronze,GRAHAM Arthur,USA,Athletics,1980
433,Men,Gold,LANDOS Jerzy,POL,Athletics,1980
434,Men,Silver,HAYNES Winford,USA,Athletics,1980
435,Men,Bronze,POKRYWKA Jozef,POL,Athletics,1980
436,Men,Gold,BELANGER Magella,CAN,Athletics,1980
437,Men,Silver,WILLS Tony,CAN,Athletics,1980
438,Men,Bronze,EGAN Joe,AUS,Athletics,1980
439,Men,Gold,LAPALME Denis,CAN,Athletics,1980
440,Men,Silver,KARNER Alois,AUT,Athletics,1980
441,Men,Bronze,PIATKOWSKI Henryk,POL,Athletics,1980
442,Men,Gold,WAGNER K.,FRG,Athletics,1980
443,Men,Silver,HARRISON J.,CAN,Athletics,1980
444,Men,Bronze,WILL K.,FRG,Athletics,1980
445,Men,Gold,JAUHIAINEN Harri,FIN,Athletics,1980
446,Men,Silver,KRAUZ Jan,POL,Athletics,1980
447,Men,Bronze,PICKL Wolfgang,AUT,Athletics,1980
448,Men,Gold,PEDERSEN Cato Zahl,NOR,Athletics,1980
449,Men,Silver,GERSHONI Yekutiel,ISR,Athletics,1980
450,Men,Bronze,SCHMIT Marco,LUX,Athletics,1980
451,Men,Gold,LANHAM,AUS,Athletics,1980
452,Men,Silver,KO Shing Chi,HKG,Athletics,1980
453,Men,Bronze,KOLM Gerhard,AUT,Athletics,1980
454,Men,Gold,BERG Matthias,FRG,Athletics,1980
455,Men,Silver,PEART C.,CAN,Athletics,1980
456,Men,Bronze,SCHARMENTKE R.,FRG,Athletics,1980
457,Men,Gold,VALDEZ Eusebio,MEX,Athletics,1980
