imdb,date_aired,format,engagement
8.0,1979-11-24,TV Series,52.0
7.2,1979-12-01,TV Series,48.0
7.7,1979-12-08,TV Series,52.0
6.1,1979-12-14,Movie,1051.0
7.5,1979-12-15,TV Series,48.0
7.3,1979-12-22,TV Series,47.0
7.5,1979-12-29,TV Series,46.0
6.5,1980-01-05,TV Series,47.0
7.1,1980-11-08,TV Series (segmented),35.0
7.1,1980-11-08,TV Series (segmented),35.0
7.1,1980-11-08,TV Series (segmented),35.0
7.2,1980-11-15,TV Series (segmented),36.0
7.2,1980-11-15,TV Series (segmented),37.0
6.8,1980-11-15,TV Series (segmented),32.0
7.2,1980-11-22,TV Series (segmented),36.0
7.2,1980-11-22,TV Series (segmented),37.0
7.2,1980-11-22,TV Series (segmented),36.0
7.2,1980-11-29,TV Series (segmented),37.0
7.1,1980-11-29,TV Series (segmented),31.0
6.8,1980-11-29,TV Series (segmented),32.0
6.8,1980-12-06,TV Series (segmented),32.0
6.7,1980-12-06,TV Series (segmented),36.0
7.1,1980-12-06,TV Series (segmented),31.0
7.1,1980-12-13,TV Series (segmented),31.0
6.7,1980-12-13,TV Series (segmented),36.0
7.0,1980-12-13,TV Series (segmented),29.0
6.7,1980-12-20,TV Series (segmented),36.0
7.0,1980-12-20,TV Series (segmented),29.0
7.0,1980-12-20,TV Series (segmented),29.0
7.0,1980-12-27,TV Series (segmented),32.0
6.7,1980-12-27,TV Series (segmented),29.0
7.0,1980-12-27,TV Series (segmented),32.0
6.7,1981-01-03,TV Series (segmented),29.0
6.7,1981-01-03,TV Series (segmented),29.0
7.0,1981-01-03,TV Series (segmented),32.0
7.0,1981-01-10,TV Series (segmented),32.0
7.0,1981-01-10,TV Series (segmented),32.0
7.0,1981-01-10,TV Series (segmented),32.0
7.1,1981-01-17,TV Series (segmented),31.0
7.1,1981-01-17,TV Series (segmented),31.0
7.1,1981-01-17,TV Series (segmented),31.0
7.2,1981-01-24,TV Series (segmented),31.0
7.1,1981-01-24,TV Series (segmented),31.0
7.1,1981-01-24,TV Series (segmented),31.0
7.2,1981-01-31,TV Series (segmented),31.0
7.1,1981-01-31,TV Series (segmented),31.0
7.2,1981-01-31,TV Series (segmented),31.0
7.4,1981-09-19,TV Series (segmented),32.0
7.4,1981-09-19,TV Series (segmented),32.0
7.4,1981-09-19,TV Series (segmented),32.0
7.2,1981-09-26,TV Series (segmented),30.0
7.2,1981-09-26,TV Series (segmented),30.0
7.1,1981-09-26,TV Series (segmented),27.0
7.1,1981-10-03,TV Series (segmented),29.0
7.1,1981-10-03,TV Series (segmented),29.0
7.2,1981-10-03,TV Series (segmented),30.0
7.1,1981-10-10,TV Series (segmented),29.0
7.1,1981-10-10,TV Series (segmented),27.0
7.1,1981-10-10,TV Series (segmented),27.0
7.1,1981-10-17,TV Series (segmented),29.0
7.1,1981-10-17,TV Series (segmented),29.0
7.4,1981-10-17,TV Series (segmented),27.0
7.1,1981-10-24,TV Series (segmented),27.0
7.1,1981-10-24,TV Series (segmented),29.0
7.1,1981-10-24,TV Series (segmented),32.0
7.4,1981-10-31,TV Series (segmented),27.0
7.1,1981-10-31,TV Series (segmented),32.0
7.1,1981-10-31,TV Series (segmented),32.0
7.4,1982-09-25,TV Series (segmented),25.0
7.4,1982-09-25,TV Series (segmented),23.0
7.1,1982-10-02,TV Series (segmented),24.0
7.3,1982-10-02,TV Series (segmented),25.0
6.9,1982-10-09,TV Series (segmented),26.0
7.4,1982-10-09,TV Series (segmented),25.0
7.3,1982-10-16,TV Series (segmented),27.0
6.9,1982-10-16,TV Series (segmented),26.0
7.3,1982-10-23,TV Series (segmented),27.0
7.3,1982-10-23,TV Series (segmented),25.0
7.4,1982-10-30,TV Series (segmented),24.0
7.1,1982-10-30,TV Series (segmented),23.0
7.4,1982-11-06,TV Series (segmented),23.0
7.3,1982-11-06,TV Series (segmented),23.0
7.1,1982-11-13,TV Series (segmented),25.0
7.3,1982-11-13,TV Series (segmented),23.0
7.0,1982-11-20,TV Series (segmented),23.0
7.1,1982-11-20,TV Series (segmented),25.0
7.2,1982-11-27,TV Series (segmented),23.0
7.2,1982-11-27,TV Series (segmented),23.0
7.0,1982-12-04,TV Series (segmented),23.0
7.1,1982-12-04,TV Series (segmented),23.0
7.1,1982-12-11,TV Series (segmented),24.0
7.4,1982-12-11,TV Series (segmented),24.0
6.8,1982-12-19,TV Series (segmented),26.0
6.8,1982-12-19,TV Series (segmented),26.0
7.4,1983-09-10,TV Series (segmented),27.0
7.4,1983-09-10,TV Series (segmented),27.0
7.5,1983-09-10,TV Series (segmented),21.0
7.5,1983-09-10,TV Series (segmented),21.0
7.5,1983-09-17,TV Series (segmented),17.0
7.5,1983-09-17,TV Series (segmented),17.0
7.7,1983-09-17,TV Series (segmented),20.0
7.7,1983-09-17,TV Series (segmented),20.0
7.2,1983-09-24,TV Series (segmented),18.0
7.2,1983-09-24,TV Series (segmented),18.0
7.5,1983-10-01,TV Series (segmented),15.0
7.5,1983-10-01,TV Series (segmented),15.0
7.3,1983-10-08,TV Series (segmented),15.0
7.3,1983-10-08,TV Series (segmented),15.0
7.1,1983-10-15,TV Series (segmented),17.0
7.1,1983-10-15,TV Series (segmented),17.0
7.4,1983-10-29,TV Series (segmented),18.0
7.4,1983-10-29,TV Series (segmented),18.0
7.2,1983-11-05,TV Series (segmented),20.0
7.2,1983-11-05,TV Series (segmented),20.0
6.5,1983-11-26,TV Series (segmented),21.0
6.5,1983-11-26,TV Series (segmented),21.0
6.5,1983-12-03,TV Series,19.0
6.5,1983-12-10,TV Series,23.0
7.2,1984-09-08,TV Series,45.0
7.2,1984-09-15,TV Series (segmented),29.0
7.2,1984-09-15,TV Series (segmented),29.0
7.5,1984-09-22,TV Series (segmented),29.0
7.5,1984-09-22,TV Series (segmented),29.0
7.0,1984-09-29,TV Series (segmented),26.0
7.0,1984-09-29,TV Series (segmented),26.0
7.1,1984-10-06,TV Series (segmented),24.0
7.1,1984-10-06,TV Series (segmented),24.0
6.9,1984-10-13,TV Series,36.0
7.2,1984-10-20,TV Series (segmented),23.0
7.2,1984-10-20,TV Series (segmented),23.0
8.0,1984-10-27,TV Series,47.0
7.5,1984-11-03,TV Series,26.0
7.3,1984-11-10,TV Series (segmented),27.0
7.3,1984-11-10,TV Series (segmented),27.0
7.6,1984-11-17,TV Series,27.0
7.0,1984-11-24,TV Series (segmented),24.0
7.0,1984-11-24,TV Series (segmented),24.0
7.9,1984-12-01,TV Series,60.0
7.7,1985-09-07,TV Series,104.0
7.6,1985-09-14,TV Series,91.0
7.3,1985-09-21,TV Series,84.0
7.2,1985-09-28,TV Series,79.0
7.9,1985-10-05,TV Series,84.0
7.5,1985-10-12,TV Series,74.0
7.6,1985-10-19,TV Series,76.0
7.1,1985-10-26,TV Series,78.0
7.4,1985-11-02,TV Series,77.0
7.7,1985-11-09,TV Series,76.0
7.4,1985-11-16,TV Series,71.0
7.4,1985-11-23,TV Series,77.0
7.4,1985-12-07,TV Series,77.0
7.1,1987-10-18,Movie,3727.0
7.3,1988-09-10,TV Series,68.0
7.5,1988-09-17,TV Series,58.0
8.0,1988-09-24,TV Series,55.0
7.5,1988-10-01,TV Series,61.0
7.4,1988-10-08,TV Series,44.0
7.6,1988-10-15,TV Series,50.0
6.9,1988-10-16,Movie,4487.0
7.8,1988-10-22,TV Series,44.0
7.7,1988-10-29,TV Series,47.0
7.0,1988-11-05,TV Series,47.0
7.5,1988-11-12,TV Series,53.0
6.9,1988-11-13,Movie,3924.0
6.9,1988-11-19,TV Series,46.0
7.2,1988-11-26,TV Series,44.0
7.5,1988-12-03,TV Series,45.0
7.7,1989-09-09,TV Series,43.0
7.7,1989-09-16,TV Series,43.0
7.8,1989-09-23,TV Series,43.0
7.5,1989-09-30,TV Series,38.0
7.6,1989-10-07,TV Series,42.0
7.7,1989-10-14,TV Series,40.0
7.2,1989-10-21,TV Series,39.0
7.8,1989-10-28,TV Series,38.0
7.1,1990-09-08,TV Series (segmented),37.0
7.1,1990-09-08,TV Series (segmented),37.0
6.9,1990-10-06,TV Series,35.0
7.2,1990-11-03,TV Series,38.0
7.2,1991-08-03,TV Series,40.0
6.6,1991-08-10,TV Series (segmented),37.0
6.6,1991-08-10,TV Series (segmented),37.0
6.6,1991-08-10,TV Series (segmented),37.0
7.2,1991-08-17,TV Series,32.0
5.8,1994-09-03,Movie,1526.0
8.4,1997-07-25,Crossover,148.0
7.8,1998-09-22,Movie,12620.0
