index,network,title,imdb,engagement,format,monster_gender,motive
339,Warner Home Video,Scooby-Doo! Mask of the Blue Falcon,6.8,1485.0,Movie,Male,Competition
340,Cartoon Network,Dance of the Undead,8.0,180.0,TV Series,Male,Competition
341,Cartoon Network,The Devouring,7.8,166.0,TV Series,Male,Competition
342,Cartoon Network,Stand and Deliver,8.3,171.0,TV Series,Male,Competition
343,Cartoon Network,Nightmare in Red,8.9,187.0,TV Series,Male,Preservation
344,Cartoon Network,Dark Night of Hunters,8.4,165.0,TV Series,Female,Competition
345,Cartoon Network,Gates of Gloom,8.7,169.0,TV Series,Male,Treasure
346,Cartoon Network,Through the Curtain,9.0,184.0,TV Series,Male,Conquer
347,Cartoon Network,Come Undone,9.3,260.0,TV Series,Male,Conquer
348,Warner Home Video,Scooby-Doo Adventure: The Mystery Map!,5.1,294.0,Movie,Male,Treasure
349,Warner Home Video,Scooby-Doo! Stage Fright,7.1,1380.0,Movie,Male,Theft
350,Warner Home Video,Scooby-Doo! and the Spooky Scarecrow,7.3,403.0,TV Series,Male,Theft
351,Warner Home Video,Scooby-Doo! Mecha Mutt Menace,6.5,242.0,TV Series,Male,Competition
352,Warner Home Video,Scooby-Doo! Wrestlemania Mystery,6.3,2825.0,Movie,Male,Competition
353,Warner Home Video,Scooby-Doo! Ghastly Goals!,6.6,216.0,TV Series,Male,Theft
354,Warner Home Video,Scooby-Doo! Frankencreepy,6.7,1541.0,Movie,Male,Competition
355,Warner Home Video,Scooby-Doo! Moon Monster Madness,6.5,1269.0,Movie,Male,Competition
356,Warner Home Video,Scooby-Doo! and the Beach Beastie,7.1,188.0,TV Series,Male,Theft
357,Cartoon Network,Mystery 101,7.9,122.0,TV Series,Male,Competition
358,Cartoon Network,Game of Chicken,7.2,102.0,TV Series,Male,Treasure
359,Cartoon Network,All Pawns on Deck,7.4,101.0,TV Series,Male,Treasure
360,Cartoon Network,Poodle Justice,7.3,85.0,TV Series,Male,Competition
361,Cartoon Network,Grand Scam,7.3,78.0,TV Series,Male,Competition
362,Cartoon Network,Trading Chase,7.6,80.0,TV Series,Male,Theft
363,Cartoon Network,"Be Quiet, Scooby-Doo!",7.5,84.0,TV Series,Male,Competition
364,Cartoon Network,Party Like It's 1899,8.2,88.0,TV Series,Male,Theft
365,Cartoon Network,Screama Donna,7.4,72.0,TV Series,Female,Competition
366,Cartoon Network,Kitchen Frightmare,7.5,75.0,TV Series,Male,Competition
367,Cartoon Network,"Me, Myself, and A.I.",7.5,72.0,TV Series,Male,Competition
368,Cartoon Network,Area 51 Adjacent,7.4,71.0,TV Series,Male,Competition
369,Cartoon Network,"Where There's a Will, There's a Wraith",7.5,81.0,TV Series,Male,Inheritance
370,Cartoon Network,Scooby-Doo! Knight Time Terror,6.6,288.0,TV Series,Male,Treasure
371,Cartoon Network,Scary Christmas,7.4,75.0,TV Series,Male,Theft
372,Cartoon Network,"If You Can't Scooby-Doo the Time,Don't Scooby-Doo the Crime",7.7,72.0,TV Series,Male,Theft
373,Cartoon Network,Gremlin on a Plane,7.8,66.0,TV Series,Male,Competition
374,Cartoon Network,Sorcerer Snacks Scare,7.9,67.0,TV Series,Male,Competition
375,Cartoon Network,Saga of the Swamp Beast,8.2,67.0,TV Series,Male,Theft
376,Cartoon Network,"Be Cold, Scooby-Doo!",7.5,63.0,TV Series,Male,Preservation
377,Warner Home Video,LEGO Scooby-Doo! Haunted Hollywood,5.9,1144.0,Movie,Male,Competition
378,Cartoon Network,Giant Problems,7.4,58.0,TV Series,Male,Competition
379,Boomerang,Eating Crow,7.4,54.0,TV Series,Male,Natural Resource
380,Warner Home Video,Scooby-Doo! and WWE: Curse of the Speed Demon,6.2,1179.0,Movie,Male,Competition
381,Warner Home Video,Scooby-Doo! Shaggy's Showdown,6.8,1120.0,Movie,Male,Theft
382,Boomerang,I Scooby Dooby Do,7.2,58.0,TV Series,Female,Competition
383,Boomerang,El Bandito,7.6,52.0,TV Series,Male,Treasure
384,Boomerang,Into the Mouth Madcap,7.2,50.0,TV Series,Male,Competition
385,Boomerang,The Norse Case Scenario,7.3,48.0,TV Series,Male,Natural Resource
386,Boomerang,The People vs. Fred Jones,7.7,50.0,TV Series,Male,Theft
387,Boomerang,Some Fred Time,8.2,53.0,TV Series,Male,Competition
388,Boomerang,There Wolf,7.5,40.0,TV Series,Male,Theft
389,Boomerang,Renn Scare,7.4,40.0,TV Series,Male,Competition
390,Boomerang,How to Train Your Coward,7.6,42.0,TV Series,Male,Theft
391,Boomerang,Worst in Show,7.1,38.0,TV Series,Male,Competition
392,Boomerang,The Curse of Kaniaku,7.5,39.0,TV Series,Male,Competition
393,Boomerang,Vote Velma,6.6,40.0,TV Series,Male,Competition
394,Boomerang,In Space,8.0,44.0,TV Series,Male,Natural Resource
395,Boomerang,Doo Not Distrub,7.9,50.0,TV Series,Female,Competition
396,Boomerang,Silver Scream,7.4,38.0,TV Series,Male,Competition
397,Boomerang,Fright of Hand,7.2,35.0,TV Series,Male,Competition
398,Boomerang,Greece in the World,6.7,35.0,TV Series,Female,Competition
399,Cartoon Network,Batman: The Brave and the Bold: Bat-Mite Presents: Batman's Strangest Cases!,6.6,1698.0,Movie,Male,Conquer
400,Boomerang,American Goth,7.1,41.0,TV Series,Male,Competition
401,Boomerang,Omelettes Are Forever,7.2,31.0,TV Series,Male,Competition
402,Boomerang,Ghost in the Mystery Machine,7.4,36.0,TV Series,Female,Competition
403,Boomerang,Naughty or Ice,7.4,38.0,TV Series,Male,Theft
404,Boomerang,Night of the Upsetting Shorts,7.3,39.0,TV Series,Male,Competition
405,Boomerang,Junkyard Dogs,6.9,37.0,TV Series,Male,Theft
406,Boomerang,Protein Titans 2,6.7,33.0,TV Series,Male,Competition
407,Boomerang,World of Witchcraft,6.9,33.0,TV Series,Male,Theft
408,Boomerang,Professor Huh? Part 6 3/4,7.9,36.0,TV Series,Male,Competition
409,Boomerang,Pizza O'Possumm's,6.8,31.0,TV Series,Male,Competition
410,Boomerang,The Curse of Half-Beard's Booty,6.8,31.0,TV Series,Male,Treasure
411,The CW,Scoobynatural,9.6,6929.0,Crossover,Male,Competition
412,Warner Home Video,Scooby-Doo! and the Gourmet Ghost,7.3,825.0,Movie,Male,Competition
413,Warner Home Video,Scooby-Doo! and the Curse of the 13th Ghost,6.5,1182.0,Movie,Male,Treasure
414,Boomerang,Revenge of the Swamp Monster,7.0,126.0,TV Series,Male,Competition
415,Boomerang,A Mystery Solving Gang Divided,7.9,93.0,TV Series,Male,Treasure
416,Boomerang,Peebles' Pet Show of Terrible Terrors!,7.9,79.0,TV Series,Male,Competition
417,Boomerang,"Elementary, My Dear Shaggy!",8.1,78.0,TV Series,Male,Theft
418,Boomerang,Ollie Ollie In-Come Free!,7.3,84.0,TV Series,Male,Theft
419,Boomerang,The Scooby of a Thousand Faces!,8.1,74.0,TV Series,Male,Treasure
420,Boomerang,The Cursed Cabinet of Professor Madds Markson,8.3,70.0,TV Series,Male,Entertainment
421,Boomerang,When Urkel-Bots Go Bad!,6.5,74.0,TV Series,Male,Natural Resource
422,Boomerang,The Fastest Food Fiend!,7.5,52.0,TV Series,Male,Competition
423,Boomerang,Attack of the Weird Al-Osaurus!,7.5,61.0,TV Series,Male,Natural Resource
424,Boomerang,"Now You Sia, Now You Don't!",7.4,59.0,TV Series,Female,Theft
425,Boomerang,Quit Clowning!,7.4,47.0,TV Series,Male,Competition
426,Boomerang,"What a Night, for a Dark Knight",8.7,84.0,TV Series,Male,Theft
427,Cartoon Network,Cartoon Feud,6.4,38.0,Crossover,Male,Competition
428,Warner Bros. Picture,SCOOB!,5.7,20226.0,Movie (Theatrical),Male,Treasure
429,Boomerang,The Nightmare Ghost of Psychic U!,8.1,38.0,TV Series,Male,Inheritance
430,Boomerang,"The Sword, the Fox and the Scooby-Doo!",8.8,35.0,TV Series,Male,Theft
431,Boomerang,Hollywood Knights!,8.1,25.0,TV Series,Male,Inheritance
432,Boomerang,The New York Underground!,7.8,27.0,TV Series,Male,Treasure
433,Boomerang,Fear the Fire Beast!,7.7,23.0,TV Series,Male,Competition
434,Boomerang,Too Many Dummies!,8.2,28.0,TV Series,Male,Competition
435,Boomerang,Dance Matron of Mayhem,7.6,22.0,TV Series,Female,Competition
436,Boomerang,The Wedding Witch of Wainsly Hall!,8.6,19.0,TV Series,Female,Theft
437,Boomerang,A Run Cycle Through Time!,7.9,21.0,TV Series,Male,Simulation
438,Boomerang,I Put a Hex on You!,8.4,25.0,TV Series,Female,Competition
439,Boomerang,The High School Wolfman's Musical Lament!,7.6,27.0,TV Series,Male,Competition
440,Boomerang,Space Station Scooby,8.2,24.0,TV Series,Male,Theft
441,Warner Home Video,"Happy Halloween, Scooby-Doo!",6.3,978.0,Movie,Male,Natural Resource
