index,network,title,imdb,engagement,format,monster_gender,motive
79,ABC,The Diabolical Disc Demon,7.5,84.0,TV Series,Male,Smuggling
80,ABC,Scooby's Chinese Fortune Kooky Caper,7.5,85.0,TV Series,Male,Theft
81,ABC,A Menace in Venice,7.5,92.0,TV Series,Male,Treasure
82,ABC,Don't Go Near the Fortress of Fear,7.2,83.0,TV Series,Male,Treasure
83,ABC,The Warlock of Wimbledon,6.8,84.0,TV Series,Male,Competition
84,ABC,The Beast is Awake in Bottomless Lake,7.1,84.0,TV Series,Male,Smuggling
85,ABC,The Scarab Lives!,7.6,67.0,TV Series,Male,Competition
86,ABC,The Night Ghoul of Wonderworld,7.6,59.0,TV Series,Male,Theft
87,ABC,Strange Encounters of a Scooby Kind,7.6,54.0,TV Series,Male,Smuggling
88,ABC,The Neon Phantom of the Roller Disco!,7.4,55.0,TV Series,Male,Competition
89,ABC,"Shiver and Shake, That Demon's a Snake",7.5,51.0,TV Series,Male,Smuggling
90,ABC,The Scary Sky Skeleton,7.4,51.0,TV Series,Male,Natural Resource
91,ABC,The Demon of the Dugout,7.5,51.0,TV Series,Male,Theft
92,ABC,The Hairy Scare of the Devil Bear,7.3,53.0,TV Series,Male,Treasure
93,ABC,Twenty Thousand Screams Under the Sea,7.6,47.0,TV Series,Male,Treasure
94,ABC,I Left My Neck in San Francisco,8.0,52.0,TV Series,Female,Theft
95,ABC,When You Wish Upon a Star Creature,7.2,48.0,TV Series,Male,Theft
96,ABC,"The Ghoul, the Bat and the Ugly",7.7,52.0,TV Series,Male,Theft
97,ABC,Rocky Mountain Yiiiii!,7.5,48.0,TV Series,Male,Treasure
98,ABC,The Sorcerer's a Menace,7.3,47.0,TV Series,Male,Theft
99,ABC,"Lock the Door, It's a Minotaur!",7.5,46.0,TV Series,Male,Treasure
100,ABC,A Close Encounter with a Strange Kind,7.1,35.0,TV Series (segmented),Male,Experimentation
101,ABC,A Fit Night Out for Bats,7.1,35.0,TV Series (segmented),Male,Food
102,ABC,The Chinese Food Factory,7.1,35.0,TV Series (segmented),Male,Theft
103,ABC,Scooby's Desert Dilemma,7.2,36.0,TV Series (segmented),Male,Experimentation
104,ABC,The Old Cat and Mouse Game,7.2,37.0,TV Series (segmented),Male,Food
105,ABC,Mummy's the Word,7.2,36.0,TV Series (segmented),Male,Trespassing
106,ABC,Scooby's Fantastic Island,7.1,31.0,TV Series (segmented),Male,Assistance
107,ABC,Long John Scrappy,6.8,32.0,TV Series (segmented),Male,Abduction
108,ABC,Swamp Witch,6.7,36.0,TV Series (segmented),Female,Food
109,ABC,Sir Scooby and the Black Knight,7.0,29.0,TV Series (segmented),Male,Trespassing
110,ABC,Waxworld,6.7,36.0,TV Series (segmented),Male,Abduction
111,ABC,South Seas Scare,7.0,32.0,TV Series (segmented),Male,Trespassing
112,ABC,Alaskan King Coward,7.0,32.0,TV Series (segmented),Male,Food
113,ABC,"Et Tu, Scoob?",6.7,29.0,TV Series (segmented),Male,Competition
114,ABC,Soggy Bog Scooby,6.7,29.0,TV Series (segmented),Male,Food
115,ABC,Moonlight Madness,7.0,32.0,TV Series (segmented),Male,Loneliness
116,ABC,Scooby at the Center of the World,7.1,31.0,TV Series (segmented),Male,Trespassing
117,ABC,Scooby's Trip to Ahz,7.1,31.0,TV Series (segmented),Female,Imagination
118,ABC,A Fright at the Opera,7.2,31.0,TV Series (segmented),Male,Trespassing
119,ABC,Robot Ranch,7.1,31.0,TV Series (segmented),Male,Abduction
120,ABC,Surprised Spies,7.1,31.0,TV Series (segmented),Male,Theft
121,ABC,The Invasion of the Scooby Snatchers,7.2,31.0,TV Series (segmented),Male,Conquer
122,ABC,Scooby-Nocchio,7.4,32.0,TV Series (segmented),Male,Imagination
123,ABC,Lighthouse Keeper Scooby,7.4,32.0,TV Series (segmented),Male,Trespassing
124,ABC,Scooby's Roots,7.4,32.0,TV Series (segmented),Male,Mistake
125,ABC,Scooby's Escape from Atlantis,7.2,30.0,TV Series (segmented),Male,Trespassing
126,ABC,Excalibur Scooby,7.2,30.0,TV Series (segmented),Male,Assistance
127,ABC,Scooby Saves the World,7.1,27.0,TV Series (segmented),Male,Conquer
128,ABC,Rickshaw Scooby,7.1,29.0,TV Series (segmented),Male,Trespassing
129,ABC,Scooby's Luck of the Irish,7.2,30.0,TV Series (segmented),Male,Trespassing
130,ABC,Scooby's House of Mystery,7.1,27.0,TV Series (segmented),Female,Experimentation
131,ABC,Sweet Dreams Scooby,7.1,27.0,TV Series (segmented),Male,Imagination
132,ABC,Scooby-Doo 2000,7.1,29.0,TV Series (segmented),Male,Automated
133,ABC,Punk Rock Scooby,7.1,29.0,TV Series (segmented),Male,Abduction
134,ABC,Canine to Five,7.4,27.0,TV Series (segmented),Male,Food
135,ABC,Hard Hat Scooby,7.1,27.0,TV Series (segmented),Male,Food
136,ABC,Hothouse Scooby,7.1,29.0,TV Series (segmented),Male,Food
137,ABC,Tenderbigfoot,7.1,32.0,TV Series (segmented),Male,Theft
138,ABC,Scooby and the Beanstalk,7.1,32.0,TV Series (segmented),Male,Food
139,ABC,Catfish Burglar Caper,7.1,24.0,TV Series (segmented),Male,Theft
140,ABC,Comic Book Caper,7.4,23.0,TV Series (segmented),Male,Theft
141,ABC,Scooby-Doo and Genie-Poo,7.1,25.0,TV Series (segmented),Female,Abduction
142,ABC,Captain Canine Caper,7.2,23.0,TV Series (segmented),Male,Extortion
143,ABC,The Incredible Cat Lady Caper,7.0,23.0,TV Series (segmented),Female,Theft
