,imdb,engagement,monster_gender,motive
145,7.6,151.0,Male,Competition
146,7.7,142.0,"Male,Male",Competition
147,7.6,144.0,Female,Competition
148,7.5,125.0,Male,Competition
149,7.7,133.0,Male,Competition
150,7.1,130.0,Male,Smuggling
151,7.1,122.0,Female,Preservation
152,7.5,137.0,Male,Treasure
153,7.7,122.0,"Male,Female,Male",Treasure
154,7.5,115.0,Male,Competition
155,7.1,110.0,Male,Competition
157,7.3,110.0,Male,Competition
158,7.2,112.0,"Male,Male",Competition
159,7.6,102.0,"Male,Male,Male,Female,Male,Male,Female,Female",Competition
160,7.4,104.0,Male,Competition
162,7.4,105.0,Male,Competition
163,7.6,129.0,"Male,Male",Competition
164,7.2,97.0,Male,Competition
165,7.3,103.0,Male,Competition
166,7.5,113.0,Male,Competition
167,7.5,109.0,"Male,Male",Competition
168,7.5,94.0,Male,Treasure
169,7.4,99.0,Male,Preservation
170,7.2,96.0,"Male,Male",Preservation
172,7.4,91.0,Male,Treasure
174,8.0,128.0,"Male,Male",Competition
175,7.2,102.0,"Male,Male,Male",Competition
177,7.5,97.0,"Male,Female,Female,Male,Male",Competition
178,7.4,90.0,Male,Competition
179,7.5,89.0,Male,Competition
180,7.3,101.0,Male,Competition
181,7.0,96.0,Male,Theft
182,7.6,105.0,Male,Competition
183,7.4,88.0,Male,Competition
184,7.3,87.0,Male,Competition
185,7.4,84.0,Male,Competition
186,7.5,92.0,"Male,Male",Competition
193,7.9,337.0,Male,Theft
194,7.8,304.0,"Male,Female,Male",Counterfeit
195,7.7,267.0,Male,Theft
196,7.7,255.0,Male,Competition
197,8.0,254.0,"Male,Male",Competition
198,8.5,263.0,Female,Competition
199,8.2,256.0,Male,Competition
200,7.8,229.0,Male,Competition
201,7.6,221.0,"Male,Male",Competition
203,8.2,235.0,Male,Competition
204,8.1,225.0,Female,Theft
205,8.4,246.0,Male,Competition
206,8.0,224.0,Male,Preservation
207,8.2,254.0,Male,Imagination
208,7.7,221.0,Male,Competition
209,8.2,228.0,Female,Competition
210,8.2,211.0,Male,Theft
211,8.5,227.0,Male,Competition
212,8.1,203.0,"Male,Male,Male,Male",Natural Resource
213,8.2,212.0,Male,Competition
214,8.1,196.0,Male,Competition
215,8.6,211.0,Male,Theft
216,8.2,194.0,Male,Competition
217,8.8,212.0,Female,Theft
221,6.9,195.0,Male,Competition
222,7.9,187.0,"Male,Female",Smuggling
